Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Rams,29,67.4,31,93.9,0,0
Jets,22,73.3,41,97.6,0,1
Giants,21,72.4,27,93.1,0,0
Lions,20,71.4,32,97,0,0
Chiefs,20,66.7,25,96.2,0,0
Browns,19,67.9,37,92.5,0,0
Dolphins,19,82.6,41,91.1,0,0
Redskins,19,63.3,30,96.8,1,1
Chargers,18,81.8,37,86,0,0
Bears,17,77.3,26,92.9,0,1
Falcons,16,61.5,26,96.3,1,0
Bengals,16,53.3,26,89.7,0,0
Cowboys,16,61.5,46,97.9,0,0
49ers,15,65.2,24,96,1,0
Oilers,14,77.8,31,96.9,0,0
Buccaneers,14,58.3,25,86.2,0,0
Seahawks,13,61.9,40,90.9,0,0
Raiders,12,60,33,86.8,0,0
Vikings,12,63.2,36,97.3,0,0
Patriots,12,50,42,91.3,0,0
Saints,12,48,33,94.3,0,0
Steelers,12,46.2,44,97.8,1,0
Broncos,11,50,31,88.6,0,1
Packers,11,57.9,30,100,1,0
Cardinals,11,50,27,90,0,1
Bills,10,76.9,36,94.7,1,1
Colts,8,47.1,27,87.1,1,0
Eagles,8,47.1,30,88.2,0,1
