Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Jets,12.5,33,413,1,0,0,82T,4,0
Broncos,11.4,51,582,1,0,0,75T,4,0
Patriots,11.1,47,520,0,0,0,48,9,0
Chiefs,10.8,45,488,0,0,0,55,4,0
Rams,10.6,67,711,0,0,0,58,7,0
Chargers,10.4,57,590,0,0,0,34,19,0
Redskins,9.8,54,527,1,0,0,80T,17,0
Bills,9.4,40,375,1,0,0,82T,9,0
Lions,9.2,47,430,0,0,0,35,11,0
Oilers,9,46,416,0,0,0,42,4,0
Eagles,8.7,48,416,1,0,0,57T,11,0
Seahawks,8.6,40,342,0,0,0,42,5,0
Packers,8.5,46,393,0,0,0,48,13,0
Dolphins,8.3,41,341,0,0,0,26,12,0
Buccaneers,8.3,62,512,0,0,0,50,7,0
Falcons,8.2,42,345,0,0,0,38,26,0
Browns,8.1,39,317,0,0,0,42,17,0
Cowboys,8,63,502,0,0,0,23,12,0
Steelers,7.8,58,451,0,0,0,24,2,0
Cardinals,7.8,51,395,1,0,0,70T,9,0
Bears,7,41,286,1,0,0,73T,22,0
49ers,6.9,47,323,0,0,0,52,12,0
Saints,6.7,36,242,0,0,0,32,14,0
Raiders,6.6,47,310,0,0,0,24,12,0
Colts,6.3,35,219,0,0,0,37,18,0
Giants,5.7,48,274,0,0,0,31,9,0
Vikings,4.9,49,239,0,0,0,47,11,0
Bengals,4.5,59,264,0,0,0,17,15,0
