Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Ravens,43.2,2595,60,47.4,73,2841,26,11,8,4,14,23,166,0,0
Saints,43,2491,58,46.4,63,2690,19,6,10,5,13,24,99,0,0
Rams,42.9,3429,80,46.5,61,3721,33,10,10,5,27,28,192,0,1
Colts,42.8,2956,69,46.7,61,3221,30,7,5,3,19,35,205,0,0
Bengals,42.1,3073,73,46.8,69,3419,27,8,14,6,15,30,226,1,0
Titans,41.2,3628,88,46.8,79,4118,28,7,6,7,25,43,350,0,1
Falcons,40.8,2733,67,45.7,66,3063,27,6,3,4,28,26,250,0,0
Redskins,40.6,3122,77,47.5,77,3659,22,6,12,7,10,42,397,1,1
Patriots,40.5,2673,66,46.4,67,3060,25,6,10,6,15,29,267,0,1
Chiefs,40.5,2874,71,44.6,69,3164,31,4,13,5,20,29,190,0,0
Cowboys,40.5,2306,57,45.4,64,2586,21,11,4,2,15,25,240,0,1
Jaguars,40.4,3800,94,47.5,69,4464,25,7,5,10,20,52,464,0,2
Jets,40.4,3150,78,45.9,69,3580,23,12,9,9,23,25,250,0,1
Niners,40.2,2893,72,46.8,71,3369,28,4,3,7,22,36,336,1,1
Lions,40.1,2727,68,46.2,71,3138,29,2,10,5,21,30,311,1,0
Raiders,40,4357,109,45.2,62,4930,31,5,21,3,33,47,513,1,0
Dolphins,39.3,2279,58,46.3,60,2688,21,5,3,3,11,36,349,0,1
Vikings,39.2,2943,75,44.2,62,3318,21,2,9,6,19,39,255,0,1
Browns,39.2,3644,93,44.3,59,4119,25,5,11,9,26,42,295,0,0
Texans,39.1,3249,83,46.4,71,3847,27,4,13,10,24,32,398,0,1
Giants,39.1,3129,80,45.5,71,3640,25,5,15,6,17,37,391,1,1
Seahawks,38.9,2373,61,44.1,66,2688,28,9,7,6,22,17,195,1,1
Eagles,38.9,2953,76,43.8,68,3331,34,5,13,7,22,29,238,1,0
Steelers,38.8,2367,61,43.7,74,2668,20,3,9,4,18,27,221,0,1
Bills,38.7,3326,86,42.9,67,3692,31,11,11,6,20,38,246,0,0
Chargers,38.6,2860,74,45.5,72,3366,23,8,9,7,15,35,366,0,1
Packers,38.5,1888,49,44.1,63,2159,14,5,8,4,10,22,191,1,2
Bears,38.2,2712,71,43.8,61,3107,20,9,7,3,19,33,335,1,1
Cardinals,37.9,3411,90,42.4,67,3815,35,7,8,6,37,32,284,0,2
Broncos,37.6,2597,69,44.2,65,3048,25,6,7,4,19,33,371,1,0
Buccaneers,37.6,2929,78,40.4,56,3154,17,6,12,2,26,32,185,1,1
Panthers,37.5,2701,72,44.9,72,3236,26,6,13,5,20,28,435,1,2
