Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Falcons,13.3,18,239,1,4,2,68,11,1
Rams,13,37,482,2,7,3,90,24,5
Eagles,13,41,531,2,6,3,82,21,2
Chiefs,12.1,50,605,1,12,3,81,4,1
Packers,11.5,29,333,2,5,2,75,12,1
Vikings,11,27,297,0,4,0,35,26,0
Bengals,11,40,439,0,8,3,49,15,2
Buccaneers,10.8,23,249,0,3,1,53,17,4
Cardinals,10.6,26,277,1,2,2,71T,24,2
Patriots,10.5,41,431,1,6,2,84T,11,1
Steelers,10,32,321,1,3,1,71,16,1
Bills,9.6,37,354,1,4,1,75T,18,3
Cowboys,9.2,30,275,0,3,0,38,13,4
Ravens,9.1,32,292,0,5,1,45T,23,3
Lions,8.9,32,284,0,3,0,28,37,2
Chargers,8.8,23,203,0,2,1,58,18,1
Dolphins,8.2,25,204,0,3,0,32,19,4
Panthers,8,30,239,1,2,1,79T,26,5
Giants,7.7,29,224,0,3,0,25T,27,1
Broncos,7.2,41,296,0,2,0,22,28,3
Redskins,7.2,29,208,0,3,0,37T,27,2
Jaguars,7.1,37,264,0,1,0,23,15,2
Raiders,7,37,261,0,4,0,27,17,2
Saints,7,19,134,0,2,0,32,26,1
Seahawks,7,36,252,0,4,0,38T,28,1
Colts,6.9,45,312,0,1,0,22,25,3
Titans,6.9,30,207,0,2,1,48,18,2
Browns,6.7,27,181,0,2,0,37T,25,4
Niners,6.5,35,227,0,3,0,23,13,2
Jets,6.4,43,273,0,2,1,41,20,4
Texans,6.1,34,208,0,1,0,21,28,1
Bears,5.2,21,109,0,1,0,22,13,1
