Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Packers,104,6442,41,39.4,58,24.5,3,0,2,1
Cowboys,99,6240,52,52.5,43,21.4,3,1,0,0
Broncos,99,6437,64,64.6,35,25.9,0,0,0,0
Colts,99,6332,70,70.7,26,22.6,3,3,0,0
Patriots,99,6362,53,53.5,45,21.2,0,0,1,0
Eagles,98,6401,46,46.9,52,22.8,0,0,0,0
Steelers,89,5552,32,36,54,23.1,3,0,1,1
Seahawks,89,5807,46,51.7,43,24.1,0,0,0,0
Ravens,88,5702,60,68.2,26,23.1,2,0,0,0
Texans,87,5693,40,46,45,26,2,0,0,0
Bills,85,5362,49,57.6,32,20,3,0,1,0
Dolphins,85,5476,37,43.5,46,26.9,1,0,1,1
Falcons,83,5172,46,55.4,36,22.8,2,0,0,0
Giants,82,5072,46,56.1,32,18.3,3,2,1,0
Bengals,81,5316,37,45.7,44,25.5,1,0,0,0
Chiefs,81,5156,26,32.1,54,23.9,1,0,0,0
Saints,81,5273,40,49.4,39,26.4,2,0,0,0
Panthers,79,5196,61,77.2,18,32.4,0,0,0,0
Chargers,78,4799,10,12.8,67,22.2,0,0,1,0
Vikings,77,4846,48,62.3,28,20.7,1,0,1,0
Cardinals,76,5061,38,50,37,26.1,1,0,0,0
Lions,75,4826,53,70.7,20,27.2,1,0,1,0
Rams,75,4892,38,50.7,35,24.3,2,0,1,1
Jets,74,4655,21,28.4,51,21.8,1,0,0,0
Niners,73,4721,32,43.8,40,22.7,1,0,0,0
Redskins,72,4486,27,37.5,43,25.8,2,0,0,1
Browns,71,4679,40,56.3,31,22.4,0,0,0,0
Buccaneers,69,4436,31,44.9,37,23.5,1,0,0,0
Bears,68,3872,25,36.8,35,17.5,6,1,1,0
Titans,65,4086,31,47.7,31,27.6,3,0,0,1
Jaguars,65,3991,37,56.9,22,23.4,5,2,1,0
Raiders,61,3723,34,55.7,21,32.5,6,0,1,0
