Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Patriots,35,94.6,51,100,0,1
Bills,34,89.5,31,96.9,1,1
Jets,32,82,23,100,0,0
Eagles,32,88.9,54,100,2,2
Seahawks,31,83.8,41,100,0,0
Texans,30,85.7,40,100,0,0
Colts,30,96.8,50,100,0,0
Falcons,29,90.6,40,100,0,1
Ravens,29,85.3,42,100,1,0
Panthers,29,82.9,34,100,0,1
Dolphins,29,78.4,41,100,0,0
Cardinals,29,87.9,27,100,0,1
Steelers,29,90.6,45,100,0,1
Packers,27,81.8,53,96.4,0,2
Bengals,26,78.8,39,100,0,0
Vikings,26,74.3,29,100,0,0
Browns,25,78.1,30,100,0,0
Cowboys,25,86.2,56,100,0,0
Lions,25,65.8,32,100,0,0
Chiefs,25,83.3,38,100,1,1
Niners,25,80.6,33,100,0,0
Broncos,24,82.8,56,100,0,0
Rams,24,80,34,97.1,0,2
Giants,24,92.3,44,100,0,0
Redskins,24,88.9,31,96.9,0,0
Chargers,22,84.6,40,100,0,0
Jaguars,20,76.9,23,100,0,0
Buccaneers,20,83.3,31,100,0,0
Titans,19,86.4,27,100,0,0
Raiders,19,86.4,28,100,0,0
Saints,19,86.4,46,97.9,0,0
Bears,12,75,33,94.3,1,0
