Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Ravens,28.3,38,1077,1,30,5,108T,0,1
Chiefs,28,51,1430,1,40,4,99,0,0
Colts,28,38,1065,0,33,3,76T,0,1
Bengals,27.6,45,1241,0,36,3,97,0,1
Eagles,27.3,32,874,2,21,3,107,0,1
Dolphins,26.4,41,1082,0,30,4,74T,2,2
Saints,25.9,21,543,0,14,1,99T,0,1
Broncos,25.1,32,802,0,17,4,77,0,0
Niners,24.5,45,1104,0,33,1,57,0,0
Lions,24.5,25,612,0,18,1,41,0,1
Rams,24.4,45,1099,0,34,2,75T,0,1
Jaguars,24,43,1033,0,31,1,40,1,0
Cowboys,23.9,33,790,0,25,1,42,0,0
Falcons,23.5,50,1174,0,28,3,66T,0,0
Bears,23.4,55,1290,1,34,4,101T,0,0
Titans,23.4,48,1121,0,33,5,52T,0,2
Bills,23.3,33,770,1,18,2,102T,0,0
Giants,23.3,44,1025,0,35,2,45,0,3
Jets,23.1,58,1342,0,35,5,87,0,1
Buccaneers,22.8,36,819,0,28,1,45,0,0
Patriots,22.4,31,693,0,19,1,81T,0,0
Chargers,22.2,26,577,0,19,0,35,1,0
Raiders,21.8,47,1027,0,35,1,42,0,1
Panthers,21.8,37,805,0,24,2,49,0,0
Redskins,21.8,36,783,0,20,2,45,0,1
Vikings,21.7,54,1173,0,29,5,51,0,1
Steelers,21.7,35,758,0,22,1,41T,0,0
Browns,21.6,37,801,0,23,0,39,0,0
Texans,21.1,20,422,0,12,1,41,0,1
Seahawks,21,39,820,0,25,2,47T,0,2
Packers,19.1,29,555,0,17,1,41,1,1
Cardinals,19,22,417,0,12,1,43,0,0
