Team,Rsh TD,Rec TD,Tot TD,2-PT
Ravens,22,21,46,0
Dolphins,22,15,40,1
Saints,21,34,61,0
Jets,21,12,36,0
Packers,20,30,53,0
Titans,19,16,39,1
Jaguars,19,15,34,1
Vikings,19,34,55,0
Patriots,19,28,50,0
Panthers,18,16,35,1
Chargers,17,29,49,0
Colts,16,34,53,0
Cardinals,16,27,46,0
Falcons,15,26,42,0
Cowboys,14,26,43,1
Giants,14,28,45,0
Eagles,14,27,45,0
Texans,13,29,45,0
Niners,12,23,37,0
Browns,10,11,25,1
Steelers,10,28,40,0
Bengals,9,21,33,1
Broncos,9,21,32,0
Lions,9,16,27,0
Chiefs,8,18,30,0
Redskins,8,21,29,0
Raiders,7,10,17,0
Seahawks,7,20,29,0
Bills,6,17,25,0
Bears,6,27,36,0
Buccaneers,5,18,28,1
Rams,4,12,17,0
