Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Buccaneers,13.6,41,559,2,8,3,95,15,4
Jaguars,12.9,45,581,1,8,2,85T,14,1
Saints,12.8,32,408,0,6,2,76,24,0
Cowboys,12.6,39,493,2,7,4,69T,13,3
Ravens,12.6,43,541,2,4,3,87T,12,1
Chargers,12,45,542,0,6,3,56,14,4
Patriots,12,33,395,0,6,0,39,17,1
Dolphins,11.8,46,542,0,7,0,39,15,3
Bears,11.6,25,291,1,2,1,93T,15,0
Redskins,11.5,44,506,0,5,1,47,18,2
Raiders,11.3,50,564,2,9,3,75T,14,5
Panthers,10.6,44,464,0,4,0,35,11,1
Broncos,10.5,38,399,0,5,1,44,8,2
Seahawks,10.4,41,428,2,6,3,74T,10,2
Rams,10.1,41,415,1,7,1,71T,25,4
Colts,10,34,340,0,3,1,53,11,2
Bills,10,37,369,0,3,1,73,11,2
Vikings,10,29,289,0,4,2,53,20,2
49ers,8.6,47,406,1,5,1,72T,10,3
Packers,8.6,48,412,1,4,1,71T,21,6
Eagles,8.4,34,285,0,3,1,40,19,4
Chiefs,8.3,38,316,0,3,0,37,12,2
Steelers,8.2,33,269,0,2,1,47,16,2
Bengals,8.1,29,234,1,1,1,65T,22,3
Falcons,7.6,40,304,0,1,0,23,24,2
Oilers,7.4,38,280,0,4,0,25,17,3
Jets,7.3,43,315,0,2,0,23,15,3
Giants,7.2,35,252,0,1,0,39,22,0
Cardinals,6.9,43,295,0,3,0,24,7,4
Lions,5.9,36,212,0,2,0,23,19,4
