Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Redskins,39.3,3775,96,43.9,69,4216,34,21,18,9,16,32,261,0,1
Oilers,39.2,2706,69,47.2,71,3258,18,2,6,11,16,34,332,0,0
Ravens,39.2,3524,90,43.9,67,3948,25,10,9,7,24,40,284,1,2
Jaguars,38.5,3272,85,45,65,3824,28,13,10,11,11,40,332,0,0
Panthers,38.1,2937,77,40.7,59,3131,20,5,11,5,36,20,94,0,0
Broncos,38.1,2516,66,46.9,76,3097,14,5,6,10,2,43,381,0,1
Giants,37.8,3819,101,45.2,63,4566,33,19,10,8,11,53,587,1,0
Colts,37.1,2932,79,45.4,62,3583,23,2,9,10,16,42,451,0,0
Packers,37.1,2411,65,42.9,72,2788,30,4,13,7,14,27,237,1,0
Cowboys,37,2852,77,43.4,65,3342,31,4,12,14,13,34,210,0,1
Vikings,37,2033,55,44.7,67,2458,17,4,7,5,12,27,325,1,0
Chargers,36.8,3499,95,43.9,65,4174,27,9,11,8,18,49,515,1,0
Steelers,36.8,3015,82,43.5,73,3565,35,6,16,12,18,30,310,0,0
Falcons,36.6,2711,74,40,55,2963,25,7,11,7,29,20,112,0,0
Bears,36.5,2922,80,42.6,71,3411,18,13,3,7,19,38,349,1,0
Seahawks,36.5,2959,81,44,59,3568,27,14,7,12,15,33,369,1,0
Cardinals,36.4,2945,81,41.7,67,3378,12,8,8,6,21,38,313,0,1
Bengals,36.1,2855,79,45.3,73,3578,14,10,7,11,15,36,503,1,2
Dolphins,35.9,3445,96,42.3,57,4064,24,9,13,14,17,43,339,0,1
Saints,35.8,3220,90,45.4,64,4089,26,14,7,11,5,53,649,0,0
Lions,35.6,2915,82,42.8,60,3506,19,4,5,6,20,47,471,1,0
Patriots,35.4,2621,74,44.5,64,3294,13,7,7,9,8,43,493,0,0
Buccaneers,35.3,2858,81,41.2,55,3340,19,2,9,9,23,38,302,1,0
Rams,35.3,3350,95,44.2,64,4202,16,7,5,10,15,58,652,1,0
Eagles,34.9,3628,104,41.7,61,4339,21,13,11,10,9,61,511,1,0
Chiefs,34.8,2642,76,42.8,59,3255,21,9,10,5,11,41,513,1,1
Jets,34.6,2248,65,40.6,62,2637,16,9,9,4,13,30,309,1,0
49ers,34.1,2354,69,41.1,66,2835,16,6,5,7,15,36,341,0,0
Raiders,33.4,3269,98,43.4,64,4256,29,11,12,10,12,53,787,1,0
Bills,33.2,2288,69,41.8,57,2882,18,7,2,11,17,32,374,1,0
