Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Oilers,36,90,28,100,0,0
Vikings,35,100,59,100,1,0
Bills,33,80.5,41,100,0,0
Patriots,31,79.5,32,100,0,0
Cowboys,29,82.9,40,100,0,2
Lions,29,87.9,27,93.1,2,0
Packers,29,87.9,41,95.4,2,1
Colts,27,87.1,23,100,0,0
Chiefs,27,84.4,34,100,0,0
Steelers,26,81.2,23,100,0,0
Chargers,26,86.7,19,100,0,0
Jets,25,71.4,45,97.8,0,0
Falcons,23,82.1,51,98.1,1,0
Broncos,23,85.2,58,98.3,1,0
Cardinals,23,69.7,36,100,0,0
Dolphins,22,81.5,33,97.1,0,0
Ravens,21,75,24,100,2,2
Bears,21,80.8,27,96.4,2,1
Jaguars,21,80.8,45,100,0,1
Giants,21,77.8,32,100,1,0
Buccaneers,21,75,29,96.7,0,2
Rams,20,76.9,25,96.2,1,1
Saints,20,90.9,31,100,1,0
Panthers,19,73.1,35,94.6,1,0
Bengals,19,70.4,21,100,1,1
Seahawks,19,79.2,41,100,1,2
49ers,18,66.7,49,96.1,0,1
Raiders,17,63,31,100,0,2
Eagles,14,66.7,15,88.2,0,0
Redskins,13,56.5,36,97.3,1,0
