Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Bengals,243,93,23,6,176,54.7,95,21.5,1071
Titans,233,98,15,2,179,58.3,87,18.6,1026
Steelers,232,106,12,6,150,54.7,148,25.5,1065
Ravens,230,82,13,3,180,56.2,92,19,1080
Buccaneers,228,80,17,11,189,52.2,84,20.6,1046
Saints,227,89,18,6,184,58.8,87,20.8,1031
Bears,225,74,21,10,153,48.6,99,20.8,1020
Redskins,223,79,13,4,122,51.9,104,21.2,960
Lions,222,76,25,12,184,53.6,74,21.1,1026
Patriots,221,91,17,7,163,53.3,101,21.4,1001
Chargers,221,79,4,3,177,57.3,92,21.2,1010
Giants,220,78,13,6,189,57.8,93,21.9,1028
Eagles,220,68,13,9,146,48.7,90,21.8,974
Panthers,219,67,21,5,144,45.9,66,18.6,965
Broncos,219,83,10,4,174,55.8,106,22,1034
Falcons,217,89,17,5,165,59.4,84,19.1,988
Bills,217,75,24,12,179,54.7,74,18.2,1009
Cowboys,215,71,16,4,110,52.4,114,22.6,952
Dolphins,215,89,14,9,154,56,95,20.1,953
49ers,213,95,17,9,184,57.9,120,23.6,1041
Seahawks,213,77,17,8,140,54.3,107,22.8,980
Browns,210,68,12,6,139,49.8,78,18.7,934
Vikings,210,88,18,8,179,53.4,88,23.4,978
Raiders,209,81,13,8,195,53.6,102,22.7,1030
Colts,205,85,8,5,206,59,110,25.1,1025
Jets,200,76,12,6,151,55.5,105,23.6,928
Jaguars,198,70,12,3,181,56.4,84,22.6,969
Packers,197,72,6,3,187,59.6,72,17.6,942
Cardinals,196,57,20,10,177,58.2,77,19.2,955
Chiefs,195,70,16,5,178,59.3,119,26.6,1015
Rams,192,96,11,8,236,62.3,104,25,1007
