Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Rams,379,4903,12.9,37,82,12,65,236,62.3,11
Raiders,364,3862,10.6,27,45,5,49,195,53.6,2
Buccaneers,362,3621,10,13,36,2,47,189,52.2,4
Colts,349,4227,12.1,27,57,11,86,206,59,4
Lions,343,3969,11.6,18,52,6,76,184,53.6,4
Vikings,335,3854,11.5,23,44,10,80,179,53.4,5
Bills,327,3722,11.4,18,48,10,80,179,54.7,4
Giants,327,3764,11.5,19,51,7,62,189,57.8,5
Bengals,322,3291,10.2,12,32,2,49T,176,54.7,3
Jaguars,321,3670,11.4,20,43,3,45,181,56.4,5
Ravens,320,3595,11.2,18,43,6,77,180,56.2,3
49ers,318,3559,11.2,32,41,10,61,184,57.9,3
Bears,315,3072,9.8,20,35,7,66,153,48.6,4
Panthers,314,3098,9.9,12,32,4,48,144,45.9,5
Packers,314,3921,12.5,32,53,13,67T,187,59.6,2
Saints,313,3844,12.3,27,55,13,63,184,58.8,5
Broncos,312,3208,10.3,26,30,2,65T,174,55.8,6
Chargers,309,3685,11.9,16,47,5,78,177,57.3,6
Titans,307,3867,12.6,23,55,10,71,179,58.3,0
Patriots,306,3326,10.9,21,38,8,91,163,53.3,3
Cardinals,304,3653,12,18,52,11,68,177,58.2,4
Chiefs,300,3863,12.9,17,53,13,67T,178,59.3,3
Eagles,300,3427,11.4,27,46,9,64,146,48.7,3
Browns,279,3154,11.3,18,42,7,78,139,49.8,5
Falcons,278,3695,13.3,19,46,14,94,165,59.4,1
Dolphins,275,3335,12.1,20,42,7,74,154,56,7
Steelers,274,3295,12,16,49,8,90,150,54.7,3
Jets,272,2871,10.6,17,39,1,40,151,55.5,1
Seahawks,258,3164,12.3,15,45,12,64T,140,54.3,3
Redskins,235,2716,11.6,13,31,6,85,122,51.9,2
Cowboys,210,2408,11.5,14,32,8,80,110,52.4,1
