Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Peyton Manning,4413,7.7,571,357,62.5,33,15,94.7,213,37.3,51,8,78,20,131
Jeff Garcia,4278,7.6,561,355,63.3,31,10,97.6,205,36.5,59,9,69,24,155
Elvis Grbac,4169,7.6,547,326,59.6,28,14,89.9,197,36,55,7,81,29,213
Daunte Culpepper,3937,8.3,474,297,62.7,33,16,98,190,40.1,56,13,78,34,181
Brett Favre,3812,6.6,580,338,58.3,20,16,78,193,33.3,41,7,67,33,236
Vinny Testaverde,3732,6.3,590,328,55.6,21,25,69,179,30.3,47,7,63,13,71
Steve Beuerlein,3730,7,533,324,60.8,19,18,79.7,195,36.6,47,2,54,62,331
Mark Brunell,3640,7.1,512,311,60.7,20,14,84,177,34.6,39,9,67,54,289
Kerry Collins,3610,6.8,529,311,58.8,22,13,83.1,195,36.9,46,7,59,28,243
Rich Gannon,3430,7.2,473,284,60,28,11,92.4,177,37.4,42,8,84,28,124
Kurt Warner,3429,9.9,347,235,67.7,21,18,98.2,153,44.1,49,14,85,20,115
Donovan McNabb,3365,5.9,569,330,58,21,13,77.8,181,31.8,45,5,70,45,262
Drew Bledsoe,3291,6.2,531,312,58.8,17,13,77.3,164,30.9,33,4,59,45,264
Jake Plummer,2946,6.2,475,270,56.8,13,21,66,132,27.8,35,10,70,22,151
Steve McNair,2847,7.2,396,248,62.6,15,13,83.2,141,35.6,31,5,56,24,141
Shaun King,2769,6.5,428,233,54.4,18,13,75.8,142,33.2,37,5,75,37,240
Brian Griese,2688,8,336,216,64.3,19,4,102.9,136,40.5,38,5,61,17,139
Jon Kitna,2658,6.4,418,259,62,18,19,75.6,141,33.7,21,4,71,33,166
Brad Johnson,2505,6.9,365,228,62.5,11,15,75.7,120,32.9,23,7,77,20,150
Charlie Batch,2489,6,412,221,53.6,13,15,67.3,117,28.4,32,3,59,41,242
Jay Fiedler,2402,6.7,357,204,57.1,14,14,74.5,107,30,30,8,61,23,129
Chris Chandler,2236,6.8,331,192,58,10,12,73.5,105,31.7,25,5,55,40,251
Rob Johnson,2125,6.9,306,175,57.2,12,7,82.2,101,33,27,4,74,49,292
Trent Green,2063,8.6,240,145,60.4,16,5,101.8,94,39.2,30,7,64,24,145
Jeff Blake,2025,6.7,302,184,60.9,13,9,82.7,102,33.8,21,4,49,24,150
Ryan Leaf,1883,5.8,322,161,50,11,18,56.2,81,25.2,23,5,83,31,155
Kordell Stewart,1860,6.4,289,151,52.2,11,8,73.6,91,31.5,23,2,45,30,150
Gus Frerotte,1776,7.7,232,138,59.5,9,8,82.1,87,37.5,27,5,44,12,77
Doug Flutie,1700,7.4,231,132,57.1,8,3,86.5,70,30.3,29,4,52,10,68
Cade McNown,1646,5.9,280,154,55,8,9,68.5,67,23.9,19,5,68,27,169
Troy Aikman,1632,6.2,262,156,59.5,7,14,64.3,81,30.9,15,1,48,13,91
Tony Banks,1578,5.8,274,150,54.7,8,8,69.3,84,30.7,19,2,53,20,152
Aaron Brooks,1514,7.8,194,113,58.2,9,6,85.7,66,34,20,4,53,15,94
Trent Dilfer,1502,6.6,226,134,59.3,12,11,76.6,70,31,18,6,59,23,135
Tim Couch,1483,6.9,215,137,63.7,7,9,77.3,59,27.4,14,2,79,10,78
Jim Harbaugh,1416,7,202,123,60.9,8,10,74.6,66,32.7,17,4,62,14,96
Jeff George,1389,7.2,194,113,58.2,7,6,79.6,65,33.5,20,3,50,12,94
Akili Smith,1253,4.7,267,118,44.2,3,6,52.8,58,21.7,17,1,46,36,191
Doug Pederson,1047,5,210,117,55.7,2,8,56.6,45,21.4,9,1,67,17,116
Scott Mitchell,966,5.2,187,89,47.6,3,8,50.8,51,27.3,9,0,38,16,82
Shane Matthews,964,5.4,178,102,57.3,3,6,64,53,29.8,7,1,41,5,24
Kent Graham,878,5.9,148,66,44.6,1,1,63.4,37,25,14,1,77,13,70
Randall Cunningham,849,6.8,125,74,59.2,6,4,82.4,35,28,14,4,76,8,45
Brock Huard,540,6.2,87,49,56.3,3,2,76.8,27,31,5,3,45,13,72
Neil O'Donnell,530,8.3,64,36,56.2,2,3,74.4,24,37.5,8,1,67,3,23
Danny Kanell,524,4.5,116,57,49.1,2,5,49.6,30,25.9,2,0,35,8,60
Stoney Case,503,5.5,91,56,61.5,1,4,61.7,26,28.6,3,1,40,12,75
Dave Brown,467,6.8,69,40,58,2,3,70.1,20,29,5,1,44,10,53
Doug Johnson,406,6.1,67,36,53.7,2,3,63.4,21,31.3,5,0,26,13,75
Jim Miller,382,4.7,82,47,57.3,1,1,68.2,22,26.8,3,0,34,2,7
Damon Huard,318,5,63,39,61.9,1,3,60.2,15,23.8,2,0,29,4,22
Jamie Martin,307,9.3,33,22,66.7,2,1,104,16,48.5,3,2,65,0,0
Moses Moreno,241,4.6,53,27,50.9,0,2,47.8,9,17,1,0,26,8,51
Anthony Wright,237,4.5,53,22,41.5,0,3,31.7,10,18.9,3,1,46,12,92
Warren Moon,208,6.1,34,15,44.1,1,1,61.9,9,26.5,3,1,41,5,46
Ray Lucas,206,5,41,21,51.2,0,4,26.1,10,24.4,2,0,30,6,24
