Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Edgerrin James,1709,387,13,9,0,30,99,25.6,5
Robert Smith,1521,295,7,11,4,72,63,21.4,4
Eddie George,1509,403,14,4,0,35,78,19.4,5
Mike Anderson,1487,297,15,12,2,80,76,25.6,4
Corey Dillon,1435,315,7,12,4,80,66,21,4
Fred Taylor,1399,292,12,12,2,71,73,25,2
Jamal Lewis,1364,309,6,8,1,45,62,20.1,4
Marshall Faulk,1359,253,18,6,0,36,78,30.8,0
Jerome Bettis,1341,355,8,5,0,30,71,20,1
Stephen Davis,1318,332,11,5,1,50,71,21.4,3
Ricky Watters,1242,278,7,7,2,55,60,21.6,5
Curtis Martin,1204,316,9,8,1,55,61,19.3,2
Emmitt Smith,1203,294,9,6,1,52,65,22.1,6
James Stewart,1184,339,10,3,0,34,65,19.2,4
Ahman Green,1175,263,10,10,0,39,61,23.2,3
Charlie Garner,1142,258,7,8,1,42,53,20.5,4
Lamar Smith,1139,309,14,6,2,68,62,20.1,3
Warrick Dunn,1133,248,8,11,2,70,42,16.9,1
James Allen,1120,290,2,5,0,29,56,19.3,5
Tyrone Wheatley,1046,232,9,8,2,80,50,21.6,4
Jamal Anderson,1024,282,6,7,1,42,53,18.8,6
Tiki Barber,1006,213,8,9,2,78,38,17.8,5
Ricky Williams,1000,248,8,3,0,26,56,22.6,6
Ron Dayne,770,228,5,2,1,50,47,20.6,1
Michael Pittman,719,184,4,5,0,29,35,19,3
Tony Richardson,697,147,3,4,0,33,35,23.8,1
Donovan McNabb,629,86,6,6,1,54,31,36,2
Tim Biakabutuka,627,173,2,5,2,43,29,16.8,1
Shawn Bryson,591,161,0,2,0,24,30,18.6,0
Priest Holmes,588,137,2,2,0,21,38,27.7,1
Kevin Faulk,570,164,4,0,0,18,31,18.9,4
Rich Gannon,529,89,4,2,0,23,34,38.2,3
Travis Prentice,512,173,7,0,0,17,30,17.3,1
Napoleon Kaufman,499,93,0,8,1,60,21,22.6,1
Daunte Culpepper,470,89,7,5,0,27,36,40.4,6
Mike Alstott,465,131,5,1,0,20,37,28.2,3
Kordell Stewart,436,78,7,4,1,45,28,35.9,6
Jeff Garcia,414,72,4,2,0,33,24,33.3,2
J.R. Redmond,406,125,1,1,0,20,14,11.2,1
Steve McNair,403,72,0,4,0,25,23,31.9,7
Terrell Fletcher,384,116,3,1,0,21,19,16.4,2
Thomas Jones,373,112,2,1,0,29,23,20.5,3
Jermaine Fazande,368,119,2,2,0,26,21,17.6,1
Antowain Smith,354,101,4,1,1,59,19,18.8,1
Shaun King,353,73,5,0,0,19,24,32.9,2
Duce Staley,344,79,1,2,1,60,14,17.7,1
Sammy Morris,341,93,5,2,0,32,29,31.2,1
Darnell Autry,334,112,3,0,0,15,16,14.3,2
Kimble Anders,331,76,2,1,1,69,14,18.4,1
Cade McNown,326,50,3,2,0,30,19,38,4
Brandon Bennett,324,90,3,1,0,37,18,20,1
Shaun Alexander,313,64,2,1,1,50,20,31.2,2
Rob Johnson,307,42,1,2,0,23,15,35.7,1
Chris Warren,296,74,2,2,0,32,18,24.3,3
Brad Hoover,290,89,1,1,0,35,12,13.5,0
Terrell Davis,282,78,2,1,0,24,14,18,1
Jay Fiedler,267,54,1,2,0,30,22,40.7,2
Errict Rhett,258,71,0,1,1,42,10,14.1,0
Justin Watson,249,54,4,2,1,49,13,24.1,0
Jeff Blake,243,57,1,1,0,20,17,29.8,4
Mark Brunell,236,48,2,0,0,16,12,25,5
Akili Smith,232,41,0,3,0,21,15,36.6,4
Stanley Pritchett,225,58,1,0,0,16,10,17.2,1
Dorsey Levens,224,77,3,0,0,17,13,16.9,0
Richard Huntley,215,46,3,1,0,30,13,28.3,1
Randy Jordan,213,46,3,1,1,43,10,21.7,0
Charlie Batch,199,44,2,0,0,19,12,27.3,1
Brian Mitchell,187,25,2,2,1,85,9,36,0
KaRon Coleman,183,54,1,1,0,24,10,18.5,2
Jake Plummer,183,37,0,3,0,24,12,32.4,4
Terry Allen,179,46,2,0,0,18,9,19.6,0
Frank Moreau,179,67,4,1,0,22,16,23.9,2
Rodney Thomas,175,61,0,1,0,20,6,9.8,0
Aaron Brooks,170,41,2,1,0,29,14,34.2,2
J.J. Johnson,168,50,1,0,0,16,5,10,0
Doug Flutie,161,36,1,1,0,32,10,27.8,3
Drew Bledsoe,158,47,2,0,0,16,14,29.8,6
Jerald Moore,156,37,1,1,1,40,7,18.9,0
Chris Fuamatu-Ma'afala,149,21,1,4,0,23,6,28.6,0
Peter Warrick,148,16,2,2,2,77,6,37.5,0
Fred Beasley,147,50,3,0,0,9,14,28,0
Stacey Mack,145,54,1,0,0,14,9,16.7,2
Jamel White,145,47,0,0,0,14,6,12.8,0
Robert Chancey,141,42,2,0,0,14,9,21.4,0
Chad Morton,136,36,0,0,0,16,6,16.7,0
Thurman Thomas,136,28,0,1,0,25,7,25,1
Terrelle Smith,131,29,0,0,0,16,5,17.2,1
Zack Crockett,130,43,7,0,0,11,11,25.6,0
Mario Bates,127,31,2,1,0,23,12,38.7,0
Jon Kitna,127,48,1,0,0,13,14,29.2,11
Stoney Case,117,16,1,1,0,27,6,37.5,0
Peyton Manning,116,37,1,0,0,14,10,27,1
Anthony Johnson,112,28,1,0,0,19,5,17.9,0
Jonathan Linton,112,38,0,0,0,12,5,13.2,3
Elvis Grbac,110,30,1,1,0,22,6,20,2
Autry Denson,108,31,0,0,0,12,5,16.1,0
Brett Favre,108,27,0,0,0,18,7,25.9,3
Steve Beuerlein,106,44,1,0,0,15,10,22.7,1
Larry Centers,103,19,0,0,0,14,4,21,0
Brian Griese,102,29,1,0,0,18,7,24.1,2
Rod Smith,99,6,1,2,1,50,3,50,0
Amani Toomer,91,5,1,2,0,28,5,100,0
Tony Carter,90,37,2,0,0,9,10,27,0
Randall Cunningham,89,23,1,0,0,19,9,39.1,0
Michael Wiley,88,24,0,0,0,11,5,20.8,1
Bernie Parmalee,87,27,2,0,0,18,8,29.6,0
De'Mond Parker,85,18,0,2,0,24,4,22.2,0
Mike Cloud,84,30,1,0,0,15,3,10,0
Curtis Enis,84,36,1,0,0,11,4,11.1,0
James Thrash,82,10,0,1,0,34,4,40,0
Marlon Barnes,81,15,0,1,0,20,4,26.7,1
Olandis Gary,80,13,0,1,0,25,5,38.5,0
Skip Hicks,78,29,1,0,0,12,6,20.7,1
Cecil Martin,77,13,0,1,0,23,2,15.4,1
Trent Dilfer,75,20,0,0,0,19,4,20,2
Raghib Ismail,73,8,0,2,0,37,3,37.5,1
Eddie Kennison,72,3,0,2,1,52,2,66.7,1
Paul Smith,72,18,0,0,0,14,3,16.7,0
Rabih Abdullah,70,16,0,0,0,19,5,31.2,0
Robert Holcombe,70,21,3,0,0,11,8,38.1,0
Trent Green,69,20,1,0,0,18,6,30,0
Maurice Smith,69,19,0,0,0,16,5,26.3,0
Doug Pederson,68,18,0,0,0,15,3,16.7,1
Moe Williams,67,23,0,0,0,10,4,17.4,0
Kerry Collins,65,41,1,0,0,15,5,12.2,2
Chris Hetherington,65,23,2,0,0,14,5,21.7,0
Gus Frerotte,64,22,1,0,0,13,6,27.3,0
Richie Anderson,63,27,0,0,0,9,8,29.6,0
Scott Mitchell,61,10,1,0,0,12,6,60,1
Chris Chandler,60,21,0,0,0,16,4,19,4
Brad Johnson,58,22,1,2,0,21,6,27.3,1
Patrick Pass,58,18,0,0,0,11,2,11.1,0
Tony Banks,57,19,0,0,0,10,3,15.8,1
Shyrone Stith,55,20,1,0,0,12,3,15,0
Ryan Leaf,54,28,0,0,0,14,6,21.4,8
Nicolas Luchey,54,10,0,0,0,13,4,40,1
Hines Ward,53,4,0,1,0,23,3,75,0
Chris Howard,52,21,1,0,0,9,4,19,2
Terry Kirby,51,11,0,1,0,28,2,18.2,0
Robert Thomas,51,15,0,0,0,9,6,40,2
Adrian Murrell,50,20,0,0,0,13,3,15,0
Sedrick Irvin,49,9,0,1,0,32,1,11.1,1
Wane McGarity,49,6,1,1,0,22,2,33.3,0
Troy Brown,46,6,0,2,0,35,2,33.3,0
Derrick Alexander,45,3,0,1,0,26,2,66.7,0
Greg Comella,45,10,0,0,0,16,2,20,0
Tim Couch,45,12,0,1,0,31,3,25,1
Jimmy Kleinsasser,43,12,0,0,0,7,2,16.7,0
Ray Lucas,42,6,0,0,0,17,2,33.3,0
Jason Tucker,42,4,1,0,0,17,2,50,0
Terry Glenn,39,4,0,1,0,35,1,25,0
Larry Izzo,39,1,0,1,0,39,1,100,1
Rob Konrad,39,15,0,0,0,5,1,6.7,0
Jermaine Lewis,38,3,0,1,0,23,2,66.7,0
Obafemi Ayanbadejo,37,15,1,0,0,8,4,26.7,0
Fred McAfee,37,2,0,1,1,40,1,50,0
Raymont Harris,36,13,0,0,0,7,1,7.7,0
Jeff Lewis,36,8,0,0,0,19,3,37.5,0
Anthony Wright,36,12,0,0,0,19,1,8.3,1
Shane Matthews,35,10,0,0,0,14,3,30,1
William Floyd,33,16,1,0,0,8,2,12.5,0
Dennis Northcutt,33,9,0,0,0,13,1,11.1,0
Peerless Price,32,2,0,1,0,27,1,50,0
