Player,INT,INT TD,INT Yds,Lng
Darren Sharper,9,0,109,47
Dexter McCleon,8,0,28,23
Donnie Abraham,7,0,82,23
Samari Rolle,7,1,140,81
Kurt Schulz,7,0,53,19
Brian Walker,7,0,80,31
Eric Allen,6,3,145,50
Ray Buchanan,6,0,114,60
Terrell Buckley,6,1,110,33
Victor Green,6,1,144,43
Rodney Harrison,6,1,97,63
Emmanuel McDaniel,6,0,30,17
Damien Robinson,6,0,1,1
Duane Starks,6,0,125,64
William Thomas,6,1,68,46
Bryant Westbrook,6,1,126,101
Champ Bailey,5,0,48,48
Keion Carpenter,5,0,63,22
Eric Davis,5,0,14,8
Sammy Knight,5,2,68,37
Sam Madison,5,0,80,34
Brock Marion,5,0,72,24
Chad Scott,5,0,49,33
Phillippi Sparks,5,0,59,43
Patrick Surtain,5,0,55,43
Troy Vincent,5,0,34,17
Dewayne Washington,5,0,59,31
Aeneas Williams,5,0,102,48
Ashley Ambrose,4,1,139,42
Jay Bellamy,4,1,132,84
Jeff Burris,4,1,38,27
Marcus Coleman,4,0,6,7
Ray Crockett,4,1,31,26
Brian Dawkins,4,0,62,32
Jamie Duncan,4,1,55,31
London Fletcher,4,0,33,12
Aaron Glenn,4,0,34,34
James Hasty,4,0,53,38
Billy Jenkins,4,1,61,36
Chris McAlister,4,1,165,98
Deion Sanders,4,0,91,32
Tyrone Williams,4,1,105,46
Willie Williams,4,1,74,69
Charles Woodson,4,0,36,23
Rod Woodson,4,0,20,18
Brent Alexander,3,0,31,15
Dre' Bly,3,0,44,22
Ronnie Bradford,3,0,25,13
Zack Bronson,3,0,75,43
Eric Brown,3,0,9,9
Corey Fuller,3,0,0,0
Darrell Green,3,0,35,33
Kim Herring,3,0,74,30
Jimmy Hitchcock,3,1,116,88
John Lynch,3,0,43,36
Alex Molden,3,0,24,24
Monty Montgomery,3,1,68,46
Tony Parrish,3,1,81,38
Darren Perry,3,0,3,3
Dainon Sidney,3,0,19,19
Jimmy Spencer,3,2,102,79
Reggie Stephens,3,0,4,4
Bobby Taylor,3,0,64,38
Shaun Williams,3,0,52,40
Al Wilson,3,0,21,20
Ronde Barber,2,1,46,37
Corwin Brown,2,0,12,12
LeRoy Butler,2,0,25,22
Tom Carter,2,0,40,30
Chad Cota,2,0,3,3
Sam Cowart,2,0,4,2
Donovin Darius,2,0,26,21
Antuan Edwards,2,0,4,4
Donnie Edwards,2,1,45,42
Carlos Emmons,2,0,8,8
Doug Evans,2,0,17,17
Terry Fair,2,0,0,0
Randall Godfrey,2,1,25,24
Corey Harris,2,0,44,42
