Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Marvin Harrison,102,1413,14,16,4,78,70,68.6,2,0,0
Muhsin Muhammad,102,1183,6,14,0,36,62,60.8,1,0,0
Ed McCaffrey,101,1317,9,19,4,61,68,67.3,0,0,0
Rod Smith,100,1602,8,30,2,49,77,77,1,0,0
Terrell Owens,97,1451,13,23,5,69,65,67,2,0,0
Cris Carter,96,1274,9,16,2,53,73,76,3,0,0
Joe Horn,94,1340,8,19,5,52,63,67,1,0,0
Keenan McCardell,94,1207,5,13,3,67,58,61.7,3,0,0
Eric Moulds,94,1326,5,23,4,52,62,66,1,0,0
Tony Gonzalez,93,1203,9,16,0,39,66,71,0,0,0
Jimmy Smith,91,1213,8,15,5,65,60,65.9,1,0,0
Richie Anderson,88,853,2,9,1,41,36,40.9,2,0,0
Isaac Bruce,87,1471,9,24,6,78,66,75.9,1,0,0
Troy Brown,83,944,4,12,1,44,45,54.2,1,0,0
Torry Holt,82,1635,6,30,10,85,60,73.2,2,0,0
Larry Centers,81,600,3,1,0,26,27,33.3,1,0,0
Marshall Faulk,81,830,8,6,2,72,42,51.8,0,0,0
Terry Glenn,79,963,6,9,0,39,57,72.2,0,0,0
Derrick Alexander,78,1391,10,24,7,81,55,70.5,0,0,0
Amani Toomer,78,1094,7,15,4,54,60,76.9,1,0,0
Randy Moss,77,1437,15,25,8,78,58,75.3,2,0,0
Tim Brown,76,1128,11,19,3,45,59,77.6,0,0,0
Jerry Rice,75,805,7,8,1,68,48,64,2,0,0
Ahman Green,73,559,3,2,0,31,29,39.7,3,0,1
Michael Pittman,73,579,2,5,0,36,17,23.3,2,0,0
David Boston,71,1156,7,17,7,70,48,67.6,1,0,0
Keyshawn Johnson,71,874,8,12,0,38,49,69,2,0,0
Freddie Jones,71,766,5,9,1,44,36,50.7,3,0,0
Tiki Barber,70,719,1,10,0,36,29,41.4,1,0,0
Curtis Martin,70,508,2,1,0,31,24,34.3,0,0,0
Frank Wycheck,70,636,4,6,0,26,37,52.9,2,0,0
Wayne Chrebet,69,937,8,16,2,50,50,72.5,0,0,0
Chad Lewis,69,735,3,11,1,52,35,50.7,0,0,0
Charlie Garner,68,647,3,7,1,62,28,41.2,0,0,0
Shannon Sharpe,67,810,5,12,1,59,36,53.7,0,0,0
Donald Hayes,66,926,3,15,1,43,47,71.2,1,0,0
Bill Schroeder,65,999,4,14,2,55,51,78.5,1,0,0
Kyle Brady,64,729,3,8,0,36,39,60.9,0,0,0
Sean Dawkins,63,731,5,5,1,40,42,66.7,0,0,0
Edgerrin James,63,594,5,6,2,60,24,38.1,0,0,0
Derrick Mason,63,895,5,12,0,34,45,71.4,0,0,0
Ricky Watters,63,613,2,6,3,59,28,44.4,0,0,0
