Player,Comb,Asst,Solo,Sck
Mike Peterson,159,57,66,0
Ronald McKinnon,155,37,78,4
Pat Tillman,153,37,81,1.5
Anthony Simmons,147,28,93,4
Derrick Brooks,140,23,97,1
Stephen Boyd,139,63,60,0.5
Ray Lewis,137,29,90,3
Greg Biekert,134,34,68,2
Marvin Jones,133,33,64,1
Donnie Edwards,132,19,90,1
London Fletcher,132,27,88,5.5
Sam Cowart,130,42,63,5.5
Takeo Spikes,128,19,81,2
Earl Holmes,127,41,56,1
Rodney Harrison,126,26,82,6
Brian Urlacher,124,26,80,8
Mike Minter,123,31,74,2
Junior Seau,122,20,79,3.5
Jeremiah Trotter,120,20,89,3
Randall Godfrey,118,22,68,3
Ed McDaniel,118,21,82,2
Wali Rainer,118,33,67,1
Lawyer Milloy,117,31,62,0
Kailee Wong,112,28,63,2
Marvcus Patton,111,23,71,1
John Holecek,110,41,43,0
Tedy Bruschi,107,36,34,1
Victor Green,106,42,48,0
Nate Wayne,105,27,60,2
Robert Griffith,103,29,58,1
Jessie Armstead,102,26,54,5
Mike Brown,101,18,70,0
Chris Claiborne,101,39,50,0.5
Sammy Knight,101,26,51,2
Kwamie Lassiter,100,34,55,0
Rob Fredrickson,99,38,45,1
Zach Thomas,99,43,47,1.5
Sam Shade,98,14,73,1
Darryl Williams,98,21,65,0
George Koonce,97,23,51,1.5
Bernardo Harris,96,20,60,2
Brock Marion,96,24,62,0
Jason Belser,95,15,55,5
Marty Carter,94,20,64,2
Brian Walker,94,29,59,2
Shaun Williams,94,20,61,0
Lee Woodall,94,25,54,0
Chad Brown,93,22,61,6
Billy Jenkins,93,15,68,0
Micheal Barrow,92,21,52,3.5
Eric Brown,92,14,72,1
LeRoy Butler,92,25,54,2
Darren Sharper,92,20,59,1
Darrin Smith,92,30,43,2
Lester Towns,92,14,60,0
Marquis Smith,91,18,57,1
Dexter Coakley,90,12,69,0
Marty Moore,90,15,56,1
Derek M. Smith,89,17,59,1
Mo Lewis,88,24,46,10
Derrick Rodgers,88,24,54,0.5
Lance Schulters,88,30,51,0.5
Ronde Barber,87,14,65,5.5
Jay Bellamy,87,18,50,2
Chad Cota,87,20,49,0
Dwight Hollier,87,20,44,1
Shawn Springs,87,13,64,0
Greg Wesley,87,16,61,1
Levon Kirkland,86,21,41,0
Jamir Miller,86,19,50,5
John Mobley,86,15,59,2
Tony Parrish,86,20,54,2
Kevin Hardy,85,12,58,3
John Lynch,85,29,44,1
Keith Mitchell,85,26,44,6.5
Donovin Darius,84,20,59,1
Darren Perry,84,21,47,0
Blaine Bishop,83,27,48,2.5
Keith Lyle,83,16,54,0
Mark Fields,82,20,38,2
Lee Flowers,82,24,50,1
Winfred Tubbs,82,26,49,2
Jerome Woods,81,8,64,2
Ray Buchanan,80,11,58,0
Warrick Holdman,80,18,52,0
Marquez Pope,80,19,49,1
Bryan Cox,79,26,29,6
Darren Hambrick,79,16,56,1
Bobby Hamilton,79,38,23,1.5
Dewayne Washington,79,10,59,0
Carlos Emmons,78,23,50,0.5
Doug Evans,78,13,56,0
Chris Slade,78,26,32,4
Jeff Burris,77,8,55,3
Chad Eaton,77,19,31,2.5
Kevin Mathis,77,14,53,0
Sean Harris,76,12,50,1
Ryan McNeil,76,9,61,0
Eugene Robinson,76,12,58,0
William Thomas,76,9,49,1
Charles Woodson,76,13,57,0
Darren Woodson,76,10,60,0
Brent Alexander,75,15,38,1.5
Mike Dumas,75,11,57,1
Jason Gildon,75,19,42,13.5
Ahmed Plummer,75,7,58,0
Rod Woodson,75,10,58,0
Ty Law,74,16,49,0
Troy Vincent,74,13,55,1
Ted Johnson,73,23,25,0.5
Ken Norton,73,26,41,0
Armegis Spearman,73,24,39,1
Anthony Dorsett,72,20,47,1
Mike A. Jones,72,11,52,2
Jason Sehorn,72,13,53,0
Brian Dawkins,71,17,49,2
Pat Dennis,71,7,60,0
Ron Rice,71,29,37,0
