Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Darren Bennett,46.2,36.2,3326,92,66,4248,23,12,9,10,10,51,722,1,0
Shane Lechler,45.9,38.5,2505,66,69,2984,24,5,8,10,12,30,279,0,1
Chris Gardocki,45.6,37.3,4026,108,67,4919,25,12,12,5,10,69,793,0,0
Tom Tupa,44.8,33.2,2754,83,70,3714,18,6,11,15,9,42,660,2,0
Mitch Berger,44.7,36.2,2243,62,60,2773,16,6,3,11,10,32,310,0,0
Hunter Smith,44.7,36.4,2369,65,65,2906,20,2,5,9,21,28,357,0,0
Todd Sauerbrun,44.6,35.8,2937,82,68,3656,28,6,7,8,18,43,559,0,0
Scott Player,44.2,37.3,2424,65,55,2871,17,0,5,5,18,37,347,2,0
Josh Miller,43.8,37.9,3413,91,67,3944,34,9,15,8,14,44,371,0,1
John Jett,43.5,35.6,3306,95,59,4044,33,3,11,12,14,53,498,0,2
Micah Knorr,42.8,35.8,2077,58,60,2485,12,4,9,8,12,25,248,0,0
Lee Johnson,42.7,37.2,3314,90,62,3798,31,8,12,5,21,43,384,0,1
Sean Landeta,42.3,36,3100,86,60,3635,23,4,9,8,18,47,375,1,0
Matt Turk,42.1,36.2,3332,92,70,3870,25,10,11,14,21,36,258,0,0
Bryan Barker,42,34.4,2616,76,65,3194,29,18,9,5,6,38,478,1,0
Mark Royals,41.8,35.1,2983,85,63,3551,17,5,7,8,24,41,408,1,0
Toby Gowin,41.1,32.3,2389,74,58,3043,22,6,6,8,17,37,494,2,0
Dan Stryzinski,41,38.4,3221,85,60,3447,27,11,8,5,31,29,126,0,1
Craig Hentrich,40.8,36.3,2761,76,67,3101,33,6,12,9,21,28,160,0,0
Brad Maynard,40.6,34.1,2697,80,64,3210,26,14,12,8,17,28,353,0,1
John Baker,40.4,35,1504,44,59,1736,13,4,7,5,10,17,132,0,1
Tom Rouen,40.2,32.9,2005,62,62,2455,18,6,14,9,9,23,270,1,1
Kyle Richardson,40.2,33.9,2915,86,55,3457,35,6,8,8,23,41,382,0,0
Daniel Pope,40.2,33.1,3108,94,57,3775,18,10,13,14,17,40,387,0,0
Tommy Barnhardt,40,34.4,2718,79,53,3160,23,5,11,5,25,33,342,2,0
Jeff Feagles,40,37.4,2769,75,57,2960,24,16,6,2,18,32,151,0,1
Chad Stanley,39.5,32.7,2255,70,56,2727,15,4,6,7,20,32,332,0,1
Steve Lindsey,39,32.3,97,3,46,117,0,0,1,1,1,0,0,0,0
Louie Aguiar,38.8,34.9,1816,52,56,2017,8,1,10,4,16,21,121,0,0
Chris Mohr,38.5,31.8,3017,96,57,3661,19,12,6,5,21,51,544,1,1
Josh Bidwell,38.5,34.6,2698,78,53,3003,22,3,16,5,27,27,205,1,0
Ken Walter,38.4,34.9,2232,66,66,2459,19,4,11,2,22,25,187,0,2
Barry Cantrell,36.7,33.3,333,10,40,367,3,0,0,0,6,4,34,0,0
Brent Bartholomew,36.5,32.2,1417,44,52,1607,12,1,8,3,17,15,130,0,0
Ryan Longwell,30,10,10,1,30,30,0,0,0,1,0,0,0,0,0
