Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Martin Gramatica,87,5633,1688,11,12.6,74,22.8,2,0,0,0
Danny Kight,87,5619,1730,13,14.9,72,24,2,1,0,1
Ryan Longwell,83,5088,1639,5,6,76,21.6,2,0,1,0
Sebastian Janikowski,82,5313,1431,14,17.1,67,21.4,0,0,1,0
Matt Stover,82,5077,1558,7,8.5,73,21.3,0,0,1,0
Steve Lindsey,81,5196,1479,11,13.6,68,21.8,1,0,1,0
Wade Richey,81,5071,1358,13,16,63,21.6,3,0,2,0
David Akers,80,4874,1519,4,5,72,21.1,4,2,2,0
Craig Hentrich,78,4764,1587,1,1.3,76,20.9,0,0,0,0
Todd Sauerbrun,78,4883,1679,6,7.7,70,24,2,0,1,0
Kris Brown,77,4431,1496,4,5.2,69,21.7,2,1,2,0
Olindo Mare,77,4644,1260,7,9.1,68,18.5,3,1,0,0
Toby Gowin,75,4815,1730,3,4,70,24.7,2,1,0,2
Joe Nedney,75,4662,1164,10,13.3,60,19.4,1,0,4,0
Steve Christie,72,3860,1475,1,1.4,67,22,2,0,2,2
Jason Hanson,69,4481,1251,10,14.5,55,22.8,4,1,1,0
John Hall,67,4328,1294,9,13.4,56,23.1,0,0,2,0
Adam Vinatieri,67,4236,1253,7,10.4,60,20.9,0,0,0,0
Jeff Wilkins,66,4362,1238,15,22.7,49,25.3,0,0,2,1
Morten Andersen,64,4171,1230,12,18.8,50,24.6,2,1,0,3
John Carney,64,3948,1454,2,3.1,60,24.2,0,0,2,1
Mitch Berger,58,3893,1170,10,17.2,47,24.9,0,0,1,1
Brad Daluiso,58,3402,1235,2,3.4,54,22.9,2,0,1,0
Paul Edinger,58,3472,1105,4,6.9,51,21.7,2,1,1,0
Micah Knorr,55,3516,982,8,14.6,44,22.3,3,2,1,0
Cary Blanchard,54,2903,827,2,3.7,46,18,6,2,1,0
Rian Lindell,53,3205,851,3,5.7,47,18.1,2,1,1,0
Phil Dawson,49,2966,1012,6,12.2,42,24.1,1,0,0,0
Neil Rackers,46,2800,885,4,8.7,41,21.6,1,0,0,0
Kris Heppner,36,2295,863,2,5.6,34,25.4,0,0,0,0
Jason Elam,35,2136,790,0,0,35,22.6,0,0,0,1
Jim Tarle,35,2010,600,0,0,33,18.2,0,0,2,0
Scott Bentley,32,1972,667,1,3.1,30,22.2,1,1,0,0
Gary Anderson,24,1328,349,1,4.2,22,15.9,1,0,1,0
Brett Conway,18,1132,451,1,5.6,17,26.5,0,0,0,1
Richie Cunningham,18,1018,271,0,0,16,16.9,1,0,1,0
Pete Stoyanovich,18,1003,337,1,5.6,16,21.1,0,0,1,0
Jeff Hall,16,972,383,0,0,16,23.9,0,0,0,0
Michael Husted,16,1054,313,1,6.2,15,20.9,0,0,0,0
Jaret Holmes,15,933,274,2,13.3,13,21.1,0,0,0,0
Tim Seder,11,638,154,2,18.2,8,19.2,1,0,0,0
Shane Lechler,9,566,164,1,11.1,8,20.5,0,0,0,0
Barry Cantrell,4,215,69,0,0,4,17.2,0,0,0,0
John Jett,4,256,76,0,0,4,19,0,0,0,0
Chris Thomas,4,213,75,0,0,4,18.8,0,0,0,0
Ken Walter,4,180,27,0,0,3,9,1,0,0,0
Mike Hollis,3,34,38,0,0,1,38,3,0,0,1
Chris Mohr,3,176,49,0,0,3,16.3,0,0,0,0
John Baker,2,85,-1,0,0,2,-0.5,0,0,0,0
Doug Brien,2,94,13,0,0,1,13,0,0,1,0
Lee Johnson,2,116,97,0,0,2,48.5,0,0,0,1
Daniel Pope,2,67,13,0,0,1,13,1,0,0,0
Bryan Barker,1,64,21,0,0,1,21,0,0,0,0
Darren Bennett,1,52,17,0,0,1,17,0,0,0,0
Eddie Murray,1,12,0,0,0,0,0,1,0,0,0
Tom Rouen,1,44,8,0,0,1,8,0,0,0,0
Hunter Smith,1,40,6,0,0,1,6,0,0,0,0
Pat Tillman,1,20,0,0,0,0,0,0,0,1,0
Tom Tupa,1,58,23,0,0,1,23,0,0,0,0
Mike Vanderjagt,1,70,0,1,100,0,0,0,0,0,0
