Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Ravens,243,95,19,11,163,48.7,97,21.5,1056
Cardinals,239,91,16,5,224,53.5,58,16.1,1075
Cowboys,232,94,13,7,177,59,97,18.6,1071
Redskins,230,97,11,6,166,59.7,114,21.7,1037
Giants,227,90,13,6,172,58.5,106,22.6,1055
Jaguars,225,93,10,4,170,60.1,97,19.3,1020
Dolphins,225,79,15,6,159,54.6,93,21,1026
Lions,224,87,17,7,151,50.8,68,16.8,955
Packers,221,91,19,9,206,53.8,76,19.1,1051
Patriots,221,93,17,13,204,58,100,22.8,1031
Buccaneers,221,87,7,4,161,53.1,83,18.2,985
Eagles,220,72,12,3,182,54,73,20,1027
Falcons,219,94,14,5,149,60.3,139,26.2,1021
Texans,219,75,17,8,142,52.6,89,20.4,955
Panthers,218,92,6,2,157,58.4,82,16.8,964
Titans,218,75,31,9,191,53.4,72,18.1,1022
Bears,215,62,16,7,111,50.7,98,20.1,937
Raiders,214,85,14,7,189,59.8,80,22.2,997
Chiefs,213,91,16,10,182,57.4,138,26.5,1059
Rams,211,77,21,14,209,53.3,82,21.6,1025
Saints,211,82,12,2,182,59.1,89,21,1017
Broncos,210,76,19,14,162,58.1,145,26.8,1030
Chargers,208,88,17,11,191,56.5,116,25,1022
Jets,204,72,19,8,146,54.5,74,19.3,907
49ers,204,49,8,5,96,47.1,70,16.4,865
Browns,203,67,18,7,149,50.2,76,19.2,938
Bills,201,74,16,6,129,48,96,22.4,930
Bengals,196,84,10,3,203,56.1,109,23.8,1018
Vikings,196,64,9,4,169,52.3,83,21.8,945
Steelers,192,68,12,5,144,63.2,119,21.7,960
Seahawks,192,76,8,7,192,62.5,142,27.4,1020
Colts,187,91,13,8,217,62.5,116,25,1000
