Team,INT,INT TD,INT Yds,Lng
49ers,26,5,425,86
Vikings,25,2,326,45
Lions,22,0,270,39
Rams,22,2,245,31
Steelers,22,3,361,63
Panthers,21,2,319,96
Oilers,21,4,317,98
Cowboys,19,4,261,65
Eagles,19,1,239,37T
Cardinals,19,4,259,72
Falcons,18,2,304,71T
Bills,17,2,233,69
Browns,17,2,230,36T
Saints,17,1,195,47T
Jets,17,3,261,49
Chargers,17,1,220,99T
Bears,16,1,146,37T
Chiefs,16,2,303,74
Giants,16,2,269,75
Seahawks,16,0,127,26
Redskins,16,2,250,51T
Patriots,15,0,143,45
Dolphins,14,1,161,69T
Buccaneers,14,1,137,40T
Packers,13,0,253,76
Colts,13,1,248,97T
Jaguars,13,1,155,48T
Bengals,12,1,175,61T
Raiders,11,2,110,42
Broncos,8,0,114,36
