Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
49ers,278,158,56.8,6.6,1836,14,9,176,63.3,15
Chargers,342,233,68.1,6.7,2292,10,13,238,69.6,19
Browns,266,144,54.1,6.8,1822,9,17,189,71,22
Vikings,292,157,53.8,6.4,1875,11,12,174,59.6,30
Seahawks,246,138,56.1,5.4,1333,4,13,136,55.3,17
Broncos,307,172,56,7.3,2234,14,12,208,67.8,16
Bengals,306,187,61.1,6.7,2043,12,14,205,67,22
Buccaneers,254,145,57.1,5.4,1384,10,11,152,59.8,25
Giants,244,148,60.7,6.4,1566,10,12,169,69.3,31
Rams,281,175,62.3,7.6,2131,16,11,214,76.2,18
Eagles,285,168,59,6.7,1907,14,15,202,70.9,30
Oilers,284,179,63,7.8,2213,18,3,212,74.6,31
Lions,288,155,53.8,6.5,1868,11,18,192,66.7,32
Colts,246,138,56.1,7.4,1823,18,5,179,72.8,11
Jets,298,159,53.4,5.5,1646,10,17,179,60.1,20
Falcons,280,157,56.1,6.4,1804,12,10,167,59.6,18
Steelers,329,176,53.5,6.4,2112,12,17,223,67.8,34
Bills,256,114,44.5,5.1,1300,8,13,144,56.2,12
Packers,327,177,54.1,5.4,1775,9,12,191,58.4,20
Raiders,375,193,51.5,6.1,2288,11,18,242,64.5,38
Chiefs,262,155,59.2,6.4,1667,12,12,183,69.8,15
Bears,294,164,55.8,6.6,1949,14,13,204,69.4,30
Cowboys,289,152,52.6,6,1742,10,15,189,65.4,32
Redskins,275,146,53.1,5.9,1614,8,11,187,68,32
Saints,245,149,60.8,6.7,1633,11,9,162,66.1,31
Cardinals,291,174,59.8,6.4,1853,16,6,196,67.4,23
Dolphins,226,119,52.6,4.5,1027,7,19,130,57.5,29
Patriots,267,142,53.2,5.7,1519,9,12,176,65.9,20
