Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Falcons,0,0,0,0,133,52.6,552
Bills,0,0,0,0,123,45.9,535
Bears,0,0,0,0,106,40.6,585
Bengals,0,0,0,0,122,54.7,550
Browns,0,0,0,0,164,53.6,593
Cowboys,0,0,0,0,113,43.5,582
Broncos,0,0,0,0,99,33.8,615
Lions,0,0,0,0,102,37.6,591
Packers,0,0,0,0,119,43.3,620
Oilers,0,0,0,0,137,46,615
Colts,0,0,0,0,172,49.4,607
Chiefs,0,0,0,0,138,49.3,556
Rams,0,0,0,0,149,48.5,606
Raiders,0,0,0,0,106,45.3,646
Dolphins,0,0,0,0,145,49.5,548
Vikings,0,0,0,0,99,38.1,522
Patriots,0,0,0,0,175,55.6,602
Saints,0,0,0,0,116,45.5,532
Giants,0,0,0,0,104,34.6,576
Jets,0,0,0,0,108,40.2,587
Eagles,0,0,0,0,135,45.2,615
Cardinals,0,0,0,0,116,45.3,570
Steelers,0,0,0,0,97,41.1,596
Chargers,0,0,0,0,127,55.2,590
49ers,0,0,0,0,142,46.9,596
Seahawks,0,0,0,0,172,51,602
Buccaneers,0,0,0,0,144,50.5,501
Redskins,0,0,0,0,94,38.1,554
