Team,INT,INT TD,INT Yds,Lng
Dolphins,19,2,281,36T
Lions,18,1,154,36T
Raiders,18,3,356,60
Browns,17,1,102,24T
Jets,17,1,261,77T
Steelers,17,0,127,30
Cowboys,15,1,163,60T
Eagles,15,1,42,20T
Bengals,14,2,240,62
Bills,13,0,122,24
Bears,13,1,99,39T
Chargers,13,0,148,35
Seahawks,13,1,160,44T
Broncos,12,0,106,29
Packers,12,0,174,40
Chiefs,12,3,208,56
Vikings,12,1,91,33T
Patriots,12,1,176,99T
Giants,12,1,205,97T
Rams,11,0,106,33
Buccaneers,11,0,139,51
Redskins,11,0,85,26
Falcons,10,0,90,30
Saints,9,0,108,32
49ers,9,1,150,83T
Cardinals,6,0,52,35
Colts,5,1,150,94T
Oilers,3,0,47,31
