Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Jets,27.4,50,1371,1,37,4,102T,0,1
Vikings,26.5,32,849,2,21,4,99T,0,0
Football Team,25.1,36,904,1,25,1,101T,0,1
Chargers,25,39,976,1,21,4,101T,0,0
Cowboys,24.8,29,719,1,20,2,100T,0,0
Colts,24.5,33,808,0,21,4,72,0,1
Lions,24.4,36,880,0,28,2,47,0,0
Seahawks,23.5,38,894,1,28,2,44T,0,0
Texans,23.4,43,1006,1,23,2,98T,0,0
Chiefs,23.4,30,702,0,22,0,39,0,2
Bills,23.2,34,790,0,21,2,75,0,1
Bears,23.1,51,1180,0,31,3,50,0,2
Ravens,23,32,737,0,25,1,47,0,0
Saints,22.6,37,838,0,23,0,39,0,1
Steelers,22.3,38,849,0,22,1,40,0,0
Jaguars,22.2,36,799,1,20,1,102T,0,1
Panthers,22.1,28,620,0,20,0,39,0,0
Patriots,21.8,25,544,0,17,0,37,0,1
Falcons,21.7,46,999,0,30,0,38,0,1
Cardinals,21.1,29,611,0,18,0,32,0,0
Browns,20.7,40,828,0,24,0,35,0,0
Giants,20.7,33,683,0,20,0,38,0,0
Rams,20.2,34,686,0,13,1,65,0,1
Bengals,20.1,33,662,0,18,1,44,0,0
Raiders,19.8,35,694,0,18,0,34,0,1
Buccaneers,19.7,30,592,0,11,1,41,0,0
Titans,19.4,40,778,0,19,0,37,0,1
49ers,18.9,34,642,0,15,1,68,1,3
Eagles,18.5,34,630,0,18,1,44,0,3
Packers,17.7,30,531,0,12,1,41,0,0
Dolphins,17.4,19,330,0,6,0,31,0,0
Broncos,16.2,18,291,0,4,0,26,0,0
