Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Cowboys,107,6877,87,81.3,18,26,1,0,1,0
Buccaneers,104,6664,77,74,25,26.8,1,0,1,0
Patriots,103,6497,45,43.7,55,21.2,0,0,3,0
Rams,102,6309,65,63.7,30,21.5,3,0,4,0
Chiefs,101,6369,66,65.4,35,18.8,0,0,0,0
Bills,100,6269,56,56,41,18,1,0,2,0
Chargers,100,6286,62,62,36,20.8,2,0,0,0
Cardinals,98,6077,73,74.5,20,21,5,1,0,0
Eagles,97,6135,61,62.9,34,26.1,2,0,0,0
Bengals,95,6004,56,59,37,21.7,1,0,1,0
Colts,95,5974,47,49.5,46,21.5,2,0,0,0
Packers,94,6031,43,45.7,50,25.7,0,0,1,0
Vikings,94,6004,76,80.8,17,22.5,1,0,0,0
Titans,92,5873,52,56.5,40,20.4,0,0,0,0
Ravens,90,5443,47,52.2,39,18.6,3,1,1,1
49ers,90,5656,37,41.1,52,23.1,1,0,0,1
Steelers,88,5565,40,45.4,46,23.9,0,0,2,0
Raiders,87,5560,53,60.9,33,22.5,0,0,1,1
Saints,84,5194,49,58.3,32,20.6,3,0,0,0
Seahawks,83,5138,31,37.4,50,19.7,1,0,1,0
Dolphins,79,5027,56,70.9,21,20.7,1,0,1,0
Football Team,79,4970,47,59.5,30,21.4,1,0,0,0
Broncos,78,4975,62,79.5,14,39.4,2,1,0,2
Lions,76,4386,33,43.4,35,21.8,9,3,0,0
Panthers,74,4750,45,60.8,29,26.5,0,0,0,0
Browns,74,4664,34,46,39,20.3,1,0,0,0
Jets,73,4434,48,65.8,22,17.8,4,0,1,0
Falcons,71,4454,35,49.3,34,23.8,1,0,1,1
Bears,71,4443,34,47.9,35,21.4,2,1,0,0
Giants,69,4068,27,39.1,37,17.8,4,1,1,0
Texans,67,4127,32,47.8,32,20.4,2,1,1,0
Jaguars,62,3822,22,35.5,38,29.3,2,0,1,3
