Team,Rsh TD,Rec TD,Tot TD,2-PT
Seahawks,20,20,43,0
Bengals,19,20,40,1
Chiefs,18,18,40,0
Browns,17,12,31,0
Ravens,16,27,46,1
Cowboys,16,37,55,0
Saints,16,33,49,0
Eagles,16,27,52,0
Broncos,15,40,57,2
Redskins,15,18,33,0
Packers,14,38,57,1
Patriots,13,34,50,0
Giants,13,30,43,0
Texans,12,22,39,0
Dolphins,12,27,41,1
Vikings,12,17,34,4
Falcons,11,28,41,1
Lions,11,22,34,1
Rams,11,20,36,1
Jets,11,16,27,0
Panthers,10,23,36,1
Steelers,10,33,48,4
Niners,10,20,32,0
Colts,9,42,52,0
Jaguars,9,15,25,1
Bears,8,30,40,5
Bills,7,23,33,2
Buccaneers,7,21,31,0
Titans,6,20,27,0
Cardinals,6,21,31,2
Chargers,6,31,37,0
Raiders,4,22,27,0
