Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Ravens,35,89.7,30,100,0,2
Packers,33,86.8,32,100,1,0
Panthers,31,88.6,29,100,1,1
Jaguars,29,87.9,38,100,0,0
Eagles,29,87.9,34,94.4,1,1
Dolphins,28,90.3,33,97.1,0,1
Buccaneers,28,82.4,42,100,0,1
Titans,27,79.4,37,97.4,0,1
Patriots,27,81.8,25,100,0,1
Bills,26,74.3,31,100,0,0
Broncos,26,76.5,53,100,1,0
Falcons,25,80.6,23,100,3,1
Cowboys,25,75.8,27,100,0,2
Colts,25,92.6,46,100,0,0
Steelers,25,83.3,32,97,1,1
Lions,24,80,29,100,0,1
Rams,24,88.9,58,100,1,1
Raiders,23,67.6,56,100,1,0
Saints,23,79.3,37,100,0,0
Jets,23,67.6,32,100,1,0
Vikings,22,95.6,45,100,0,0
Bears,21,77.8,21,100,0,0
Seahawks,21,80.8,33,100,1,0
Redskins,20,66.7,27,93.1,0,0
Giants,19,76,37,100,1,0
Chargers,18,72,27,100,1,0
Chiefs,17,70.8,40,100,0,0
Cardinals,16,69.6,18,94.7,1,0
49ers,15,68.2,43,95.6,0,0
Browns,14,82.4,17,100,0,0
Bengals,12,57.1,21,100,0,1
