Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Rams,106,6635,16,15.1,87,23.4,0,0,3,1
Broncos,99,6319,8,8.1,90,21.5,1,0,0,1
Raiders,96,6189,15,15.6,80,21.1,0,0,1,0
Colts,89,5729,14,15.7,73,23.8,2,1,0,1
Buccaneers,87,5633,11,12.6,74,22.8,2,0,0,0
Jaguars,84,4922,5,6,73,20.9,4,0,3,1
Packers,83,5088,5,6,76,21.6,2,0,1,0
Ravens,82,5077,7,8.5,73,21.3,0,0,1,0
Vikings,82,5221,11,13.4,69,22,1,0,2,1
49ers,81,5071,13,16,63,21.6,3,0,2,0
Eagles,80,4874,4,5,72,21.1,4,2,2,0
Panthers,79,4696,8,10.1,64,17.5,2,0,5,0
Titans,78,4764,1,1.3,76,20.9,0,0,0,0
Chiefs,78,4883,6,7.7,70,24,2,0,1,0
Dolphins,77,4644,7,9.1,68,18.5,3,1,0,0
Saints,77,4909,3,3.9,71,24.6,2,1,1,2
Steelers,77,4431,4,5.2,69,21.7,2,1,2,0
Bills,75,4036,1,1.3,70,21.8,2,0,2,2
Lions,73,4737,10,13.7,59,22.5,4,1,1,0
Giants,73,4335,4,5.5,67,22.5,2,0,1,0
Jets,73,4680,9,12.3,62,23,0,0,2,0
Seahawks,71,4347,4,5.6,64,19.3,2,1,1,0
Cowboys,70,4369,10,14.3,56,21.5,4,2,1,0
Patriots,69,4352,7,10.1,62,21.8,0,0,0,1
Redskins,66,4126,4,6.1,60,25.5,2,1,0,1
Chargers,65,4000,2,3.1,61,24.1,0,0,2,1
Falcons,64,4171,12,18.8,50,24.6,2,1,0,3
Bears,58,3472,4,6.9,51,21.7,2,1,1,0
Cardinals,55,2923,2,3.6,46,18,6,2,2,0
Browns,49,2966,6,12.2,42,24.1,1,0,0,0
Bengals,48,2867,4,8.3,42,21.4,2,0,0,0
