Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Patriots,23.1,28,646,1,13,1,98T,0,1
Saints,22.2,26,577,0,13,2,75,0,2
Bills,22,36,792,0,18,3,66,0,3
Redskins,21.6,30,649,0,16,2,58,0,3
Chiefs,21.3,34,723,0,21,1,68,0,0
Vikings,21.2,37,786,0,18,1,76,0,4
Dolphins,21.1,24,507,0,14,0,32,0,0
Raiders,20.9,36,754,0,16,2,55,0,3
Lions,20.8,36,750,1,12,3,96T,0,3
Bengals,20.7,31,643,0,17,1,55,0,1
49ers,20.6,36,742,0,17,2,45,0,1
Broncos,20.4,40,818,0,27,0,34,0,2
Steelers,20.3,28,569,0,14,2,57,0,3
Jets,20.2,33,667,0,18,0,37,0,0
Oilers,20.1,45,905,0,22,2,45,0,0
Giants,20.1,39,783,0,22,0,34,0,3
Cardinals,20.1,35,702,0,19,0,33,0,1
Browns,19.8,38,754,0,18,0,36,0,0
Chargers,19.8,45,890,0,21,2,47,0,1
Cowboys,19.7,33,651,0,18,0,35,0,3
Eagles,19.7,39,768,0,14,3,44,0,2
Packers,19.5,34,664,0,12,1,76,0,1
Rams,19.3,45,869,0,17,2,85,0,4
Seahawks,18.8,29,544,0,12,0,32,0,2
Bears,18.3,34,622,0,15,0,36,0,2
Colts,17.9,42,753,0,15,0,33,0,0
Falcons,17.7,29,513,0,11,0,33,0,0
Buccaneers,16.6,33,548,0,11,0,27,0,4
