Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Chiefs,385,3984,10.4,27,46,6,54,200,52,7
Bengals,380,3884,10.2,23,42,10,80,187,49.2,3
Vikings,376,4124,11,27,63,6,62,195,51.9,4
Commanders,370,3848,10.4,22,45,4,51,175,47.3,5
Cowboys,368,4006,10.9,30,57,6,60,194,52.7,5
Jaguars,366,3919,10.7,20,48,8,65,178,48.6,8
Lions,365,3984,10.9,27,60,6,48,201,55.1,4
Saints,359,3753,10.4,22,45,11,58T,173,48.2,0
Chargers,357,3834,10.7,24,51,7,79,182,51,8
Dolphins,354,4288,12.1,27,54,12,78,201,56.8,4
Bills,340,3778,11.1,27,43,7,81,177,52.1,6
Seahawks,332,3688,11.1,20,48,6,73,168,50.6,0
Eagles,330,3680,11.2,20,47,7,63,177,53.6,3
Texans,328,4101,12.5,24,64,9,75,193,58.8,2
Colts,327,3517,10.8,17,40,9,75,165,50.5,3
Browns,323,3536,11,19,44,13,75,156,48.3,4
Patriots,323,3095,9.6,16,31,3,58,142,44,4
Packers,322,3601,11.2,27,49,6,77,180,55.9,5
Buccaneers,322,3598,11.2,26,54,10,75,172,53.4,5
Panthers,320,3039,9.5,13,30,4,48T,143,44.7,6
Rams,320,3820,11.9,23,61,7,70,181,56.6,2
Jets,316,3042,9.6,10,31,3,68,143,45.2,2
Cardinals,308,2936,9.5,14,31,3,69,146,47.4,2
Raiders,298,3123,10.5,16,30,4,50T,151,50.7,3
49ers,298,4158,14,30,71,14,76,183,61.4,3
Broncos,297,3070,10.3,26,36,10,60,135,45.4,7
Ravens,294,3395,11.6,20,45,8,80,156,53.1,6
Bears,290,3005,10.4,18,39,5,58T,149,51.4,4
Falcons,289,3277,11.3,14,40,7,60T,165,57.1,2
Steelers,287,2995,10.4,12,35,7,86,134,46.7,3
Giants,286,2721,9.5,13,38,5,69,120,42,3
Titans,269,3160,11.8,12,50,10,70,141,52.4,2
