Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Commanders,580,370,63.8,6.6,3848,22,17,83.3,175,30.2,45,4,51T,60,416
Chiefs,576,385,66.8,6.9,3984,27,16,90.6,200,34.7,46,6,54T,25,182
Browns,569,323,56.8,6.2,3536,19,20,71.8,156,27.4,44,13,75T,41,284
Vikings,555,376,67.8,7.4,4124,27,16,93.7,195,35.1,63,6,62T,39,268
Bengals,554,380,68.6,7,3884,23,13,92.5,187,33.8,42,10,80,41,293
Jaguars,553,366,66.2,7.1,3919,20,12,89.8,178,32.2,48,8,65T,38,235
Chargers,547,357,65.3,7,3834,24,8,94.2,182,33.3,51,7,79,39,327
Saints,544,359,66,6.9,3753,22,11,90.9,173,31.8,45,11,58T,31,211
Lions,539,365,67.7,7.4,3984,27,10,98.3,201,37.3,60,6,48,29,189
Panthers,536,320,59.7,5.7,3039,13,9,76.6,143,26.7,30,4,48T,56,433
Cowboys,536,368,68.7,7.5,4006,30,8,102.9,194,36.2,57,6,60,37,241
Jets,536,316,59,5.7,3042,10,14,70.2,143,26.7,31,3,68T,61,445
Texans,534,328,61.4,7.7,4101,24,8,94,193,36.1,64,9,75,44,375
Colts,527,327,62,6.7,3517,17,10,84.4,165,31.3,40,9,75,39,199
Rams,525,320,61,7.3,3820,23,10,89.9,181,34.5,61,7,70T,28,192
Packers,515,322,62.5,7,3601,27,11,91.9,180,35,49,6,77,29,234
Seahawks,514,332,64.6,7.2,3688,20,12,89,168,32.7,48,6,73T,37,248
Bills,511,340,66.5,7.4,3778,27,15,93.7,177,34.6,43,7,81T,20,123
Eagles,503,330,65.6,7.3,3680,20,13,89.7,177,35.2,47,7,63T,34,196
Buccaneers,503,322,64,7.2,3598,26,8,95.8,172,34.2,54,10,75T,35,193
Dolphins,501,354,70.7,8.6,4288,27,11,105.4,201,40.1,54,12,78,27,162
Patriots,501,323,64.5,6.2,3095,16,16,78.9,142,28.3,31,3,58T,38,248
Cardinals,494,308,62.4,5.9,2936,14,11,79,146,29.6,31,3,69T,40,280
Raiders,478,298,62.3,6.5,3123,16,18,76.7,151,31.6,30,4,50T,35,259
Bears,465,290,62.4,6.5,3005,18,15,80.4,149,32,39,5,58,42,266
Falcons,463,289,62.4,7.1,3277,14,11,83.8,165,35.6,40,7,60T,37,237
Steelers,462,287,62.1,6.5,2995,12,9,81.4,134,29,35,7,86,32,232
Broncos,447,297,66.4,6.9,3070,26,8,98,135,30.2,36,10,60T,45,258
Ravens,444,294,66.2,7.6,3395,20,7,97.6,156,35.1,45,8,80,36,209
Giants,443,286,64.6,6.1,2721,13,10,81.8,120,27.1,38,5,69T,77,425
Titans,441,269,61,7.2,3160,12,10,82.4,141,32,50,10,70,56,379
49ers,437,298,68.2,9.5,4158,30,12,110,183,41.9,71,14,76T,30,173
