Team,Rsh TD,Rec TD,Tot TD,2-PT
Dolphins,26,27,57,0
Ravens,24,20,46,2
Lions,24,27,52,3
49ers,24,30,55,0
Eagles,22,20,44,1
Bills,20,27,48,3
Colts,17,17,39,3
Jaguars,15,20,37,3
Cardinals,15,14,30,3
Browns,14,19,35,6
Titans,14,12,27,1
Rams,14,23,37,3
Commanders,14,22,37,3
Falcons,13,14,28,2
Bears,13,18,33,1
Cowboys,13,30,50,4
Steelers,12,12,26,1
Saints,11,22,36,4
Chargers,11,24,36,1
Bengals,10,23,35,1
Raiders,10,16,31,2
Seahawks,10,20,33,1
Packers,9,27,38,2
Texans,9,24,35,2
Chiefs,9,27,37,0
Buccaneers,8,26,35,2
Panthers,7,13,23,3
Broncos,7,26,35,4
Vikings,7,27,36,1
Patriots,7,16,24,0
Giants,7,13,23,1
Jets,6,10,19,2
