Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Browns,232,73,30,17,156,48.3,107,23,1076
Panthers,224,82,40,18,143,44.7,101,25.2,993
Giants,218,64,34,17,120,42,81,20,924
Buccaneers,212,90,17,11,172,53.4,70,17.7,933
Bears,211,89,23,11,149,51.4,123,26.1,979
Texans,208,80,20,8,193,58.8,72,18.6,966
Colts,208,75,30,15,165,50.5,94,22.8,979
Saints,207,80,18,8,173,48.2,94,22.9,985
Chargers,207,82,27,12,182,51,75,19.9,963
Cowboys,206,98,22,12,194,52.7,103,24.6,991
Jets,204,52,26,16,143,45.2,62,19.1,922
Steelers,204,73,16,7,134,46.7,93,23.1,896
Rams,203,84,16,10,181,56.6,96,23,971
Eagles,203,99,24,18,177,53.6,135,29.2,1000
Lions,202,88,35,17,201,55.1,112,25.1,1014
Cardinals,202,78,30,11,146,47.4,100,25.4,927
Falcons,201,82,17,8,165,57.1,110,23.3,973
Vikings,200,80,24,15,195,51.9,72,20.3,949
Packers,199,89,23,12,180,55.9,82,21.9,919
Jaguars,198,72,25,12,178,48.6,87,22,986
Patriots,198,62,22,9,142,44,83,22.4,909
Commanders,197,72,24,13,175,47.3,91,27.7,968
Chiefs,192,87,18,8,200,52,97,26.4,968
Broncos,191,70,16,10,135,45.4,103,25.9,890
Bengals,190,71,17,8,187,49.2,73,22.7,916
Bills,189,93,13,8,177,52.1,137,31.2,970
Titans,189,64,15,9,141,52.4,92,23.2,894
Raiders,188,65,21,12,151,50.7,69,19.3,870
Ravens,187,79,12,6,156,53.1,132,27.3,964
Seahawks,186,66,16,6,168,50.6,80,23.4,893
Dolphins,177,75,21,9,201,56.8,102,24.8,939
49ers,160,76,11,6,183,61.4,126,29.2,898
