Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Broncos,14.5,21,305,2,3,2,78T,7,0
Chargers,11.5,12,138,0,4,0,29,5,2
Falcons,11.4,24,273,0,3,1,71,4,1
49ers,11.1,30,332,1,3,1,93T,3,1
Rams,11,22,242,1,2,2,63T,1,4
Seahawks,10.9,21,228,0,4,0,37,14,1
Lions,10.6,26,275,0,1,1,58,5,1
Dolphins,8.8,22,194,1,2,1,59T,6,2
Steelers,8.8,36,317,0,3,0,21,5,2
Patriots,8.7,16,139,0,0,0,19,8,2
Chiefs,8.6,15,129,0,1,0,30,6,1
Giants,8.5,44,373,0,4,0,33,3,0
Vikings,8.2,24,196,0,2,0,35,6,2
Cowboys,8.1,30,242,0,1,0,26,0,4
Jets,8,23,184,0,3,0,24,5,1
Redskins,7.8,38,295,0,1,0,28,2,0
Raiders,7.7,27,209,0,2,0,25,7,4
Packers,7.6,26,198,0,1,0,35,6,1
Saints,6.9,21,144,0,0,0,18,13,1
Cardinals,6,32,192,0,0,0,15,1,2
Bears,5.9,24,142,0,0,0,17,11,4
Browns,5.8,23,134,0,0,0,14,6,2
Buccaneers,5.7,25,143,0,1,0,22,1,2
Bengals,5.6,17,95,0,0,0,13,8,2
Colts,5.6,14,78,0,1,0,28,13,2
Oilers,5.5,19,104,0,1,0,25,4,1
Eagles,4.9,22,108,0,0,0,11,3,2
Bills,4.6,26,119,0,1,0,21,7,3
