Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Redskins,20,21,95.2,1_1,6_6,8_8,6_5,0_0,0_0,48,0
Chiefs,19,24,79.2,2_2,4_4,5_5,10_8,0_0,0_0,47,0
Buccaneers,18,23,78.3,0_0,11_10,6_5,3_1,0_0,0_0,51,0
Lions,16,17,94.1,0_0,6_6,5_5,6_5,0_0,0_0,49,1
Chargers,16,22,72.7,2_2,7_6,1_0,7_7,0_0,0_0,51,0
Dolphins,15,20,75,0_0,9_8,5_4,5_3,0_0,0_0,47,1
Bengals,14,18,77.8,2_2,3_3,6_5,5_3,0_0,0_0,50,1
Packers,13,18,72.2,1_1,5_4,5_5,6_3,0_0,0_0,48,1
Giants,12,21,57.1,0_0,5_5,7_5,8_2,0_0,0_0,45,0
49ers,12,17,70.6,0_0,3_1,6_5,7_6,0_0,0_0,45,1
Broncos,11,13,84.6,2_2,3_3,4_3,4_3,0_0,0_0,47,1
Jets,11,17,64.7,1_1,5_3,5_4,6_3,0_0,0_0,49,3
Falcons,10,14,71.4,0_0,6_6,3_0,3_2,0_0,0_0,51,0
Cowboys,10,14,71.4,1_1,3_3,4_3,4_2,0_0,0_0,53,0
Colts,10,18,55.6,0_0,2_1,8_3,6_4,0_0,0_0,58,3
Raiders,10,16,62.5,1_1,3_2,5_4,5_3,0_0,0_0,43,1
Steelers,10,12,83.3,0_0,4_4,2_1,5_5,0_0,0_0,48,1
Seahawks,10,14,71.4,0_0,4_3,6_5,3_2,0_0,0_0,48,1
Bills,9,18,50,1_1,4_2,4_2,9_4,0_0,0_0,49,1
Bears,9,20,45,2_2,0_0,6_1,7_5,0_0,0_0,51,1
Rams,9,15,60,0_0,5_4,8_5,0_0,0_0,0_0,39,0
Vikings,8,14,57.1,0_0,5_4,2_1,6_3,0_0,0_0,43,1
Patriots,8,13,61.5,1_0,5_5,4_2,3_1,0_0,0_0,42,2
Cardinals,8,13,61.5,1_1,3_2,3_3,6_2,0_0,0_0,48,0
Browns,7,16,43.8,1_1,4_3,3_1,7_2,0_0,0_0,46,3
Saints,6,13,46.2,1_1,3_1,2_1,6_3,0_0,0_0,45,1
Eagles,6,9,66.7,0_0,1_1,1_1,5_4,0_0,0_0,47,0
Oilers,4,6,66.7,0_0,1_1,3_3,1_0,0_0,0_0,37,0
