Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Broncos,37.8,1699,45,45,65,2026,14,9,3,5,3,25,227,0,0
Patriots,37.7,1849,49,43.7,76,2140,10,6,3,5,9,26,191,0,0
Cowboys,37.4,1384,37,41.7,56,1542,6,8,3,2,3,21,118,0,0
Giants,37.3,1829,49,42.8,73,2096,16,9,8,3,4,25,207,0,0
Bills,36.5,1278,35,37.9,61,1328,13,6,5,1,13,10,30,0,0
Raiders,36.3,1708,47,39.1,57,1839,12,9,5,3,13,17,71,0,0
Cardinals,36.2,1957,54,43.8,65,2365,8,4,4,6,4,36,288,0,0
Vikings,36,2088,58,41.1,67,2384,7,8,8,6,6,30,176,0,0
Seahawks,35.9,1760,49,38.6,54,1889,9,1,3,3,23,19,69,0,0
Bears,35.2,2079,59,41.6,81,2453,10,8,7,3,7,34,314,0,0
Saints,35.2,1617,46,43,60,1976,6,1,6,6,4,29,239,0,0
Steelers,35.1,1719,49,40.4,66,1981,11,7,5,4,5,28,182,0,0
Chargers,34.4,722,21,41.3,71,868,5,6,3,3,2,7,86,0,2
Colts,34.3,1578,46,44.4,60,2044,8,4,0,12,4,26,226,0,0
Dolphins,34.2,1196,35,38.7,61,1353,11,1,9,4,7,14,77,0,0
Bengals,34,1053,31,38.7,53,1201,7,1,4,4,5,17,68,0,0
Redskins,33.9,1731,51,38,58,1937,10,3,10,5,3,30,106,0,1
Lions,33.9,1627,48,40.9,59,1964,9,5,8,5,4,26,237,0,0
Rams,33.8,1520,45,43.6,59,1961,10,8,2,2,2,31,401,1,1
Buccaneers,33.5,1308,39,41.5,59,1620,6,5,1,6,4,23,192,0,1
Jets,33,1155,35,38.5,54,1348,8,4,3,2,9,17,153,1,1
Oilers,33,1813,55,39.8,56,2186,7,2,3,4,11,35,293,0,0
Eagles,32.9,1448,44,40.6,53,1784,8,8,4,1,0,31,316,0,0
Falcons,32.4,1393,43,39.3,54,1690,9,6,5,5,3,24,197,0,0
Packers,32.4,1361,42,40.2,53,1687,7,4,6,2,3,27,286,0,0
Browns,32.1,1541,48,39.1,52,1877,11,4,6,6,2,30,216,0,1
49ers,31.6,1392,44,38.1,80,1676,11,11,6,3,4,20,224,1,1
Chiefs,29,1102,38,40.5,56,1540,7,8,0,5,3,22,338,2,0
