Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Bears,97,5854,18,18.6,78,23.4,0,0,0,0
Bengals,92,5166,6,6.5,81,21.4,0,4,0,0
Chargers,92,5364,20,21.7,68,20,0,1,0,0
Dolphins,90,5410,26,28.9,63,21.8,0,1,0,0
Steelers,89,5455,22,24.7,65,24.1,0,1,0,0
Jets,87,5385,28,32.2,58,19.6,0,0,0,0
Giants,86,5052,7,8.1,79,21.5,0,0,0,0
Patriots,83,4757,6,7.2,76,18.9,0,0,0,0
Broncos,81,4786,16,19.8,64,21,0,0,0,1
49ers,81,4805,9,11.1,71,20.9,0,0,0,1
Cowboys,79,4598,9,11.4,68,19.3,0,0,0,0
Packers,78,4222,2,2.6,71,22.1,0,2,0,2
Raiders,78,4642,16,20.5,59,19.8,0,1,0,0
Rams,77,4577,11,14.3,66,19,0,0,0,0
Lions,76,4694,16,21,60,22,0,0,0,1
Saints,76,4557,28,36.8,43,22.5,0,1,0,1
Chiefs,75,4527,5,6.7,69,23.6,0,0,0,0
Seahawks,75,4646,27,36,47,19.5,0,0,0,0
Vikings,73,4083,1,1.4,69,21.6,0,0,0,0
Redskins,72,3374,16,22.2,40,23.8,0,2,0,2
Falcons,71,4137,6,8.4,62,18.3,0,1,0,0
Colts,71,4183,10,14.1,59,20.1,0,0,0,0
Eagles,71,4063,5,7,65,19.9,0,0,0,0
Buccaneers,70,4413,18,25.7,51,23.3,0,0,0,0
Oilers,68,4252,27,39.7,39,24.9,0,0,0,0
Browns,66,3763,14,21.2,51,17.3,0,0,0,0
Cardinals,62,3373,1,1.6,55,20.7,0,0,0,0
Bills,52,2918,10,19.2,40,19.6,0,0,0,0
