Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Rams,13.2,38,501,1,4,1,80T,16,5
Patriots,12.6,42,530,2,7,4,85T,16,5
Raiders,11.1,71,785,0,9,0,32,8,4
Redskins,10.8,47,508,0,7,0,37,11,3
Colts,10.7,42,449,1,2,1,70T,9,2
Lions,10.6,38,403,1,3,1,63T,5,3
Vikings,10,25,250,0,3,1,41,8,0
Jets,9.9,39,386,0,5,2,46,14,2
Steelers,9.9,49,483,2,3,2,71T,4,3
Cardinals,9.8,40,393,0,3,0,31,12,2
Packers,9.7,38,370,0,3,1,46,10,1
Broncos,9.3,46,429,0,2,0,38,11,4
Bears,9.3,54,503,0,3,1,47,10,4
Buccaneers,9.2,25,229,0,2,0,29,9,4
Seahawks,9.1,53,483,0,5,0,32,11,3
Chiefs,8.9,43,381,0,1,1,57,7,3
Eagles,8.7,45,393,0,2,1,56,10,1
Chargers,8.5,25,213,0,1,0,24,11,3
Bengals,8.4,32,268,0,2,0,26,8,1
Giants,8.3,53,442,0,2,0,37,18,0
Oilers,8.3,30,250,0,2,0,23,11,2
Dolphins,8.2,39,319,0,2,0,21,14,3
Browns,7.9,47,371,1,2,0,37T,8,4
Bills,7.7,38,293,0,3,0,30,6,5
Falcons,7.2,31,223,0,0,0,23,8,2
Saints,7.2,30,215,0,0,0,17,18,3
49ers,6.8,38,258,0,1,0,22,14,5
Cowboys,5.9,40,237,0,2,0,28,14,1
