Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Bears,25.3,43,1089,2,27,3,99,0,0
Rams,24.9,56,1394,3,25,5,98T,0,2
Vikings,23.2,68,1576,0,35,5,88,0,2
Broncos,23.1,52,1203,0,36,0,39,0,1
Browns,23,53,1217,0,27,6,81,0,2
Dolphins,22.6,52,1177,0,28,3,46,0,1
Oilers,22.6,67,1515,0,43,4,52,0,1
Redskins,22.5,60,1349,0,36,2,95,0,0
Lions,22,68,1494,0,38,2,54,0,3
49ers,21.9,58,1269,1,30,3,95T,0,1
Saints,21.8,71,1547,0,32,7,69,0,0
Chargers,21,71,1494,1,35,4,98T,0,2
Raiders,21,54,1132,0,28,2,57,0,1
Colts,20.9,67,1403,0,37,3,48,0,3
Eagles,20.7,56,1160,0,26,5,51,0,4
Bengals,20.7,67,1385,0,38,2,45,0,3
Steelers,20.6,65,1337,0,43,1,40,0,2
Buccaneers,20.3,80,1622,0,36,5,58,0,6
Seahawks,20.1,58,1166,0,27,2,58,0,2
Jets,19.7,53,1043,0,18,5,58,0,2
Packers,19.7,67,1318,0,35,2,48,0,3
Patriots,19.6,57,1119,0,31,1,53,0,3
Bills,19.6,68,1334,0,35,0,39,0,4
Falcons,19.5,72,1406,1,33,2,94T,0,2
Cowboys,19.5,62,1210,0,33,0,34,0,3
Chiefs,18.9,59,1117,0,29,1,40,0,2
Cardinals,18.2,78,1421,0,37,0,35,0,10
Giants,17.3,50,866,0,18,2,43,0,6
