Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Chargers,595,357,60,7.2,4293,28,26,218,36.6,40
Broncos,547,277,50.6,5.9,3206,22,24,168,30.7,47
Cowboys,549,279,50.8,6.8,3755,20,33,194,35.3,62
Dolphins,487,257,52.8,7.2,3511,21,23,164,33.7,38
Vikings,490,280,57.1,6.6,3241,20,22,164,33.5,33
Seahawks,496,273,55,6.7,3323,22,24,178,35.9,61
Eagles,478,251,52.5,6.1,2930,18,18,159,33.3,53
49ers,621,346,55.7,5.6,3508,11,18,183,29.5,60
Cardinals,461,253,54.9,6.5,3003,34,13,169,36.7,32
Bengals,518,297,57.3,7.1,3664,26,19,190,36.7,40
Bills,477,265,55.6,6.4,3078,24,20,160,33.5,25
Packers,509,295,58,6.1,3126,22,15,179,35.2,48
Oilers,462,260,56.3,7.2,3341,29,15,160,34.6,41
Steelers,484,287,59.3,5.8,2783,18,20,145,30,36
Redskins,465,239,51.4,5.9,2746,19,23,136,29.2,52
Chiefs,576,332,57.6,6.1,3489,22,27,184,31.9,37
Saints,529,306,57.8,6.9,3653,26,21,189,35.7,46
Buccaneers,505,318,63,7.3,3678,18,18,184,36.4,35
Raiders,511,251,49.1,5.9,2998,22,17,166,32.5,65
Giants,535,278,52,5.3,2838,20,24,163,30.5,68
Jets,507,267,52.7,6.4,3256,17,22,154,30.4,49
Colts,504,275,54.6,6.8,3454,24,16,191,37.9,36
Falcons,535,289,54,7.1,3798,32,22,181,33.8,42
Lions,478,283,59.2,6.1,2906,16,18,158,33,45
Patriots,525,262,49.9,5.8,3059,14,23,168,32,51
Bears,522,249,47.7,5.4,2816,16,34,140,26.8,64
Browns,509,289,56.8,6.1,3107,18,18,173,34,44
Rams,548,296,54,5.6,3062,19,29,154,28.1,56
