Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Falcons,0,0,0,0,112,25.6,1014
Bills,0,0,0,0,141,24.8,1070
Bears,0,0,0,0,74,20.6,945
Bengals,0,0,0,0,118,25.6,1020
Browns,0,0,0,0,105,21.1,1050
Cowboys,0,0,0,0,98,21.1,1076
Broncos,0,0,0,0,103,21.7,1069
Lions,0,0,0,0,179,32,1083
Packers,0,0,0,0,111,22.5,1051
Oilers,0,0,0,0,151,25.7,1091
Colts,0,0,0,0,125,23.2,1079
Chiefs,0,0,0,0,129,25.2,1126
Rams,0,0,0,0,104,23.4,1047
Raiders,0,0,0,0,73,15.8,1036
Dolphins,0,0,0,0,135,26.5,1036
Vikings,0,0,0,0,139,25.6,1065
Patriots,0,0,0,0,92,19.7,1042
Saints,0,0,0,0,125,24.6,1085
Giants,0,0,0,0,77,18.4,1022
Jets,0,0,0,0,86,19.9,989
Eagles,0,0,0,0,123,23.4,1057
Cardinals,0,0,0,0,116,21,1045
Steelers,0,0,0,0,105,22.3,989
Chargers,0,0,0,0,121,25.7,1105
49ers,0,0,0,0,89,20.5,1116
Seahawks,0,0,0,0,90,19,1031
Buccaneers,0,0,0,0,146,26.7,1088
Redskins,0,0,0,0,92,21.7,940
