Team,INT,INT TD,INT Yds,Lng
Seahawks,28,3,385,58
Bills,23,2,289,57
Chiefs,21,5,488,100
Buccaneers,21,3,338,85
Panthers,20,4,234,45
Bengals,20,4,200,60
Cardinals,20,4,251,43
Bears,19,5,428,49
Eagles,19,1,294,76T
Dolphins,18,2,204,94
Niners,18,2,278,89
Broncos,17,1,141,75
Patriots,17,2,220,79
Giants,17,2,270,91
Ravens,16,1,160,37
Redskins,16,4,247,45
Cowboys,15,2,257,74
Lions,15,1,211,66
Colts,15,1,186,46
Browns,14,3,274,44
Rams,14,2,256,98
Titans,13,1,113,34
Jets,13,1,167,38
Vikings,12,0,78,30
Saints,12,0,169,43
Packers,11,0,36,11T
Jaguars,11,1,172,59T
Chargers,11,1,143,41
Falcons,10,2,176,71
Steelers,10,3,203,40
Raiders,9,1,83,43
Texans,7,1,86,32
