Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Browns,605,363,60,5.8,3538,29,14,197,32.6,40
Broncos,613,357,58.2,6.6,4070,29,17,208,33.9,41
Falcons,516,341,66.1,7.6,3897,31,10,196,38,32
Saints,507,304,60,6.1,3105,20,12,168,33.1,49
Lions,572,338,59.1,6.9,3950,24,15,197,34.4,33
Texans,484,287,59.3,6.4,3123,29,7,158,32.6,32
Patriots,589,336,57,6.5,3824,25,17,208,35.3,48
Ravens,552,314,56.9,6.7,3681,25,16,176,31.9,40
Redskins,514,337,65.6,7.6,3896,29,16,204,39.7,36
Dolphins,580,344,59.3,6.5,3752,17,18,192,33.1,42
Jaguars,551,354,64.2,7.2,3962,29,11,200,36.3,31
Bengals,614,362,59,5.4,3344,22,20,178,29,43
Cowboys,623,403,64.7,7.4,4589,33,15,231,37.1,34
Steelers,569,329,57.8,6.2,3553,21,10,174,30.6,34
Colts,536,324,60.4,6.9,3711,21,15,191,35.6,42
Bears,507,315,62.1,7.4,3730,25,19,184,36.3,31
Cardinals,625,367,58.7,6,3728,29,20,208,33.3,47
Packers,539,332,61.6,7.3,3956,30,11,190,35.2,44
Giants,601,361,60.1,6,3573,21,17,198,33,34
Chiefs,592,334,56.4,6.7,3962,25,21,189,31.9,47
Vikings,648,419,64.7,7.1,4595,37,12,247,38.1,41
Chargers,548,364,66.4,7.6,4139,23,11,208,38,35
Titans,545,344,63.1,6.6,3612,15,13,191,35,36
Bills,561,310,55.3,5.8,3271,28,23,170,30.3,57
Raiders,549,374,68.1,7.4,4092,33,9,202,36.8,38
Buccaneers,547,352,64.4,7,3806,30,21,190,34.7,35
Eagles,670,408,60.9,6.9,4636,25,19,239,35.7,37
Rams,521,355,68.1,7.4,3874,21,14,203,39,53
Jets,586,345,58.9,6.7,3947,26,13,198,33.8,41
Panthers,563,375,66.6,6.1,3429,17,20,178,31.6,60
Seahawks,524,309,59,5.2,2752,16,28,156,29.8,44
Niners,585,345,59,6,3536,19,18,181,30.9,38
