Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Falcons,38,95,34,89.5,0,0
Dolphins,36,92.3,36,100,0,1
Cowboys,34,82.9,33,91.7,1,0
Raiders,33,94.3,45,95.7,0,0
Colts,32,86.5,43,95.6,1,0
Giants,31,96.9,21,91.3,0,0
Bears,30,93.8,36,97.3,1,0
Panthers,29,80.6,33,91.7,0,0
Bills,28,82.4,57,96.6,0,1
Broncos,28,80,25,83.3,0,1
Buccaneers,28,90.3,52,91.2,0,0
Bengals,27,79.4,32,97,1,0
Texans,27,87.1,37,92.5,0,0
Football Team,27,79.4,30,93.8,0,0
Ravens,26,89.7,52,98.1,1,0
Patriots,26,92.9,30,90.9,0,1
Chiefs,25,92.6,48,88.9,1,1
Rams,24,80,38,90.5,0,0
Chargers,24,72.7,36,92.3,0,0
Seahawks,24,100,49,92.4,0,0
Saints,23,82.1,57,98.3,0,0
Cardinals,23,76.7,45,97.8,0,0
Steelers,23,95.8,41,91.1,0,0
49ers,22,84.6,38,95,0,0
Lions,21,75,38,92.7,0,1
Jets,21,75,20,83.3,0,0
Titans,20,71.4,51,96.2,1,0
Browns,19,79.2,43,89.6,0,0
Jaguars,18,72,24,85.7,0,1
Packers,16,100,59,93.6,0,0
Vikings,15,68.2,37,86,0,0
Eagles,14,73.7,24,92.3,0,1
