Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Bills,101,6469,71,70.3,30,17.9,0,0,0,0
Buccaneers,101,6514,85,84.2,14,33.6,1,0,1,0
Packers,98,6240,52,53.1,45,24.2,0,0,1,0
Colts,97,6070,46,47.4,51,21.3,1,0,0,1
Chiefs,97,6222,72,74.2,23,23.9,0,0,2,1
Ravens,95,6094,65,68.4,30,21.1,0,0,0,0
Raiders,95,5966,61,64.2,32,23.4,2,0,0,0
Saints,95,5962,71,74.7,22,17.2,2,0,1,0
Titans,94,5864,53,56.4,37,22.2,2,0,2,0
Seahawks,93,5818,52,55.9,38,21.4,3,0,0,0
Falcons,92,5834,46,50,43,23.5,2,1,1,0
Cowboys,92,5705,60,65.2,29,20.9,3,1,0,0
Dolphins,92,5626,64,69.6,24,15.7,4,0,1,0
Steelers,88,5521,45,51.1,41,22.2,1,0,1,0
Texans,87,5464,52,59.8,34,20.7,2,1,0,0
Cardinals,87,5450,39,44.8,46,19.5,2,0,1,0
Bears,86,5252,42,48.8,41,20.4,3,0,0,0
Vikings,85,5052,53,62.4,27,24.8,5,0,0,1
Browns,84,5360,45,53.6,38,26.3,0,0,1,1
Chargers,84,5364,49,58.3,34,26.8,1,0,0,0
Panthers,81,5095,71,87.6,7,20.6,3,0,0,0
Rams,81,5237,54,66.7,26,28.4,0,0,1,0
49ers,81,4871,44,54.3,32,24.8,6,0,0,1
Broncos,79,4839,54,68.4,21,29.9,5,0,0,1
Lions,78,4765,26,33.3,49,21.4,2,0,2,0
Football Team,78,4808,65,83.3,9,26.1,4,0,0,0
Bengals,76,4816,56,73.7,18,23.1,1,0,1,0
Patriots,75,4756,42,56,32,21.2,1,0,0,0
Eagles,75,4626,46,61.3,26,22.4,3,0,0,0
Giants,74,4407,30,40.5,41,22.2,3,0,0,1
Jaguars,73,4357,42,57.5,25,18.8,4,0,2,0
Jets,63,3994,34,54,27,24.8,1,0,1,0
