Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Saints,24.2,55,1332,1,36,4,101T,0,0
Bears,22.3,50,1115,2,23,5,91,0,0
Cardinals,22.1,70,1548,0,44,4,53,0,1
Bengals,22,63,1389,0,38,3,94,0,1
Vikings,21.4,56,1200,0,35,3,43,0,1
Seahawks,20.7,64,1322,0,34,1,46,0,0
Broncos,20.6,53,1094,0,29,2,42,0,1
Cowboys,20.5,59,1208,0,29,3,56,0,4
Chiefs,20,56,1117,1,24,1,97T,0,1
Patriots,19.8,58,1147,0,26,2,52,0,0
Steelers,19.8,66,1304,0,29,3,64,0,3
Lions,19.7,67,1321,0,33,2,54,0,1
Rams,19.7,59,1160,0,32,2,55,0,4
Redskins,19.6,60,1175,0,28,0,37,0,3
Browns,19.6,62,1213,1,23,1,100T,0,0
Raiders,19.6,64,1252,0,27,3,59,0,1
Bills,19.5,55,1074,0,26,2,49,0,5
Colts,19.5,74,1443,0,37,0,37,0,4
Packers,19.3,76,1470,0,34,3,57,0,2
Oilers,19.3,59,1139,0,30,1,48,0,1
Falcons,19.2,54,1035,0,27,0,35,0,2
Jets,18.9,63,1189,2,22,4,96,0,1
Dolphins,18.2,65,1185,0,29,1,41,0,6
49ers,18,42,757,0,17,0,34,0,1
Eagles,17.8,53,945,0,18,2,51,0,4
Chargers,17.5,65,1137,0,25,0,35,0,4
Giants,17.4,50,868,0,19,0,30,0,2
Buccaneers,17.4,75,1302,0,30,0,33,0,2
