Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Oilers,36,40,90,1_1,8_8,15_15,16_12,0_0,0_0,48,1
Vikings,35,35,100,1_1,11_11,9_9,12_12,0_0,0_0,53,0
Bills,33,41,80.5,1_1,12_10,14_12,11_9,0_0,0_0,52,0
Patriots,31,39,79.5,3_3,8_8,14_9,12_9,0_0,0_0,55,1
Cowboys,29,35,82.9,1_1,9_9,11_8,11_10,0_0,0_0,54,0
Lions,29,33,87.9,0_0,8_8,7_7,15_13,0_0,0_0,51,0
Packers,29,33,87.9,1_1,6_6,15_13,10_9,0_0,0_0,45,0
Colts,27,31,87.1,1_1,8_8,4_4,9_8,0_0,0_0,53,1
Chiefs,27,32,84.4,2_2,9_9,9_9,10_5,0_0,0_0,53,0
Steelers,26,32,81.2,0_0,10_10,6_5,14_11,0_0,0_0,49,2
Chargers,26,30,86.7,0_0,12_11,5_5,10_8,0_0,0_0,54,0
Jets,25,35,71.4,0_0,9_9,13_9,10_6,0_0,0_0,54,3
Falcons,23,28,82.1,1_0,9_8,7_7,9_6,0_0,0_0,53,2
Broncos,23,27,85.2,0_0,3_3,14_13,6_4,0_0,0_0,63,1
Cardinals,23,33,69.7,0_0,9_9,7_6,11_6,0_0,0_0,53,2
Dolphins,22,27,81.5,0_0,13_12,5_5,7_5,0_0,0_0,48,0
Ravens,21,28,75,0_0,6_6,5_5,17_10,0_0,0_0,48,1
Bears,21,26,80.8,2_2,9_8,10_9,4_1,0_0,0_0,52,0
Jaguars,21,26,80.8,1_1,10_8,9_8,5_4,0_0,0_0,47,1
Giants,21,27,77.8,2_2,5_5,8_6,11_7,0_0,0_0,51,1
Buccaneers,21,28,75,1_0,7_7,12_8,7_5,0_0,0_0,52,1
Rams,20,26,76.9,0_0,5_4,8_8,7_5,0_0,0_0,57,0
Saints,20,22,90.9,0_0,7_7,3_3,6_6,0_0,0_0,56,1
Panthers,19,26,73.1,0_0,5_5,5_4,9_6,0_0,0_0,56,1
Bengals,19,27,70.4,1_1,4_4,7_6,10_6,0_0,0_0,51,1
Seahawks,19,24,79.2,0_0,7_7,5_4,5_5,0_0,0_0,51,0
49ers,18,27,66.7,0_0,10_9,4_3,13_6,0_0,0_0,46,1
Raiders,17,27,63,0_0,6_5,8_5,11_6,0_0,0_0,51,0
Eagles,14,21,66.7,3_3,3_3,5_4,9_3,0_0,0_0,50,1
Redskins,13,23,56.5,0_0,2_2,10_7,9_3,0_0,0_0,54,1
