Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Ravens,552,2674,4.8,18,19,6,82,114,20.6,21
Broncos,543,2629,4.8,20,22,8,65T,133,24.5,10
Panthers,522,2091,4,9,12,1,40,114,21.8,11
Cowboys,515,1999,3.9,11,6,3,63T,115,22.3,8
Packers,507,2558,5,18,20,7,98,127,25,12
49ers,499,2279,4.6,16,13,2,78,117,23.4,12
Vikings,493,2343,4.8,15,10,3,61T,124,25.2,15
Dolphins,487,1817,3.7,14,9,2,68T,99,20.3,6
Titans,486,1623,3.3,11,6,0,28,83,17.1,8
Bengals,481,1987,4.1,12,10,4,54,101,21,2
Jaguars,481,2073,4.3,13,11,2,62,118,24.5,8
Patriots,473,1607,3.4,9,5,1,42,91,19.2,7
Colts,453,1695,3.7,16,5,1,43T,104,23,11
Seahawks,453,2009,4.4,17,12,3,55T,121,26.7,9
Saints,448,2000,4.5,11,17,3,76T,100,22.3,12
Chiefs,446,1929,4.3,32,11,0,39,120,26.9,2
Steelers,446,1488,3.3,10,5,0,32,77,17.3,8
Bears,443,1763,4,13,8,1,67,103,23.2,10
Falcons,435,1949,4.5,17,14,7,69T,99,22.8,5
Bills,427,1664,3.9,13,6,1,64,96,22.5,14
Raiders,423,1822,4.3,15,11,3,53,98,23.2,8
Texans,421,1651,3.9,14,6,1,51,86,20.4,8
Buccaneers,421,1648,3.9,5,3,2,61,86,20.4,6
Redskins,421,1653,3.9,8,9,0,38T,95,22.6,7
Eagles,417,2015,4.8,23,15,3,64,105,25.2,8
Chargers,417,2146,5.2,16,13,5,73T,117,28.1,9
Browns,412,1670,4,8,7,1,78,91,22.1,13
Rams,411,1496,3.6,19,7,1,52T,97,23.6,5
Jets,409,1635,4,8,8,1,56T,78,19.1,6
Cardinals,403,1531,3.8,5,5,0,36,80,19.8,12
Giants,387,1559,4,6,6,0,27,89,23,9
Lions,376,1338,3.6,5,8,0,39,69,18.4,7
