Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Titans,35,89.7,28,100,0,0
Bears,31,86.1,33,100,2,4
Bengals,31,91.2,37,97.4,1,0
Packers,31,79.5,48,100,0,2
Lions,29,82.9,35,97.2,1,0
Jets,29,80.6,23,95.8,3,0
Redskins,29,82.9,29,96.7,0,0
Seahawks,28,82.4,43,100,2,1
Buccaneers,28,84.8,34,100,1,0
Ravens,27,84.4,26,100,1,2
Broncos,27,87.1,33,100,0,1
Falcons,26,76.5,25,100,0,0
Browns,26,86.7,42,97.7,2,1
Cowboys,26,83.9,53,100,0,0
Texans,25,86.2,40,100,4,0
Bills,24,88.9,24,100,1,1
Panthers,24,85.7,27,100,0,0
Rams,24,75,25,100,0,1
Eagles,24,75,36,100,0,0
Chargers,24,88.9,46,100,1,1
Colts,23,79.3,49,96.1,0,1
Raiders,23,71.9,28,100,0,0
Giants,23,85.2,40,95.2,1,0
Steelers,23,92,44,100,1,0
Jaguars,21,87.5,46,95.8,1,0
Dolphins,21,91.3,26,100,0,1
Patriots,21,87.5,74,100,2,0
Cardinals,21,70,47,97.9,0,1
Vikings,20,83.3,39,97.5,1,0
Chiefs,19,70.4,21,100,0,0
Niners,17,89.5,22,100,0,0
Saints,15,68.2,42,100,0,0
