Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Titans,35,39,89.7,0_0,12_10,12_12,10_9,0_0,0_0,56,0
Bears,31,36,86.1,0_0,7_7,13_12,14_12,0_0,0_0,49,2
Bengals,31,34,91.2,1_1,12_11,13_13,7_6,0_0,0_0,48,0
Packers,31,39,79.5,1_1,8_8,11_10,14_9,0_0,0_0,53,1
Lions,29,35,82.9,1_1,5_4,12_10,13_11,0_0,0_0,53,2
Jets,29,36,80.6,1_1,11_11,12_10,8_6,0_0,0_0,50,0
Redskins,29,35,82.9,0_0,10_10,10_8,13_10,0_0,0_0,50,0
Seahawks,28,34,82.4,0_0,12_12,5_5,12_8,0_0,0_0,54,1
Buccaneers,28,33,84.8,0_0,12_11,11_11,7_6,0_0,0_0,49,0
Ravens,27,32,84.4,1_1,11_11,7_7,12_8,0_0,0_0,49,1
Broncos,27,31,87.1,0_0,11_11,6_6,12_9,0_0,0_0,50,0
Falcons,26,34,76.5,0_0,10_9,12_12,10_5,0_0,0_0,47,1
Browns,26,30,86.7,2_2,10_9,8_7,8_7,0_0,0_0,51,2
Cowboys,26,31,83.9,0_0,12_10,7_7,7_7,0_0,0_0,53,1
Texans,25,29,86.2,1_1,7_6,6_6,10_7,0_0,0_0,57,1
Bills,24,27,88.9,0_0,11_11,7_7,6_4,0_0,0_0,52,0
Panthers,24,28,85.7,2_2,6_6,9_8,9_6,0_0,0_0,53,0
Rams,24,32,75,0_0,8_7,7_6,13_8,0_0,0_0,53,0
Eagles,24,32,75,0_0,12_12,10_10,6_1,0_0,0_0,53,0
Chargers,24,27,88.9,0_0,11_11,6_5,8_7,0_0,0_0,51,1
Colts,23,29,79.3,1_1,15_14,10_8,2_0,0_0,0_0,39,1
Raiders,23,32,71.9,0_0,4_4,7_6,10_7,0_0,0_0,54,1
Giants,23,27,85.2,1_1,10_9,8_5,8_8,0_0,0_0,48,0
Steelers,23,25,92,0_0,9_9,10_10,5_4,0_0,0_0,49,0
Jaguars,21,24,87.5,2_2,9_9,6_6,7_4,0_0,0_0,48,0
Dolphins,21,23,91.3,0_0,7_7,6_6,9_7,0_0,0_0,53,0
Patriots,21,24,87.5,0_0,10_10,9_8,5_3,0_0,0_0,45,0
Cardinals,21,30,70,2_2,5_5,8_6,6_5,0_0,0_0,52,1
Vikings,20,24,83.3,0_0,3_3,6_6,11_10,0_0,0_0,55,1
Chiefs,19,27,70.4,0_0,4_4,13_9,9_6,0_0,0_0,49,1
Niners,17,19,89.5,1_1,5_5,6_6,4_4,0_0,0_0,50,0
Saints,15,22,68.2,0_0,5_4,6_5,5_4,0_0,0_0,55,1
