Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Browns,27,72,1943,2,50,7,100T,0,1
Texans,26.5,74,1961,4,47,5,104,0,0
Chargers,25.5,48,1224,1,34,5,89T,1,0
Patriots,25.2,55,1384,2,35,4,108,2,1
Vikings,24.8,59,1461,1,35,6,104T,0,1
Falcons,24.7,72,1781,0,52,5,76,0,0
Giants,23.9,66,1579,1,43,2,74T,0,2
Redskins,23.8,65,1544,0,45,2,80,0,0
Rams,23.6,82,1938,0,57,3,84,0,2
Ravens,23.5,65,1525,1,33,6,94T,1,4
Niners,23.3,73,1702,0,47,4,55,0,2
Buccaneers,23.3,48,1119,1,32,2,90T,0,0
Bengals,23.1,73,1684,1,45,3,100T,2,4
Jets,22.9,74,1695,3,45,5,98T,0,3
Cardinals,22.7,74,1682,0,45,4,59,0,0
Jaguars,22.6,49,1110,1,25,4,100,0,0
Lions,22.6,72,1628,1,41,3,74T,0,1
Broncos,22.3,58,1293,0,41,0,35,0,3
Cowboys,22.3,61,1358,0,34,3,72,0,1
Seahawks,22.1,53,1173,2,28,4,91,2,2
Steelers,22,52,1145,1,33,1,98T,1,1
Colts,21.8,53,1157,0,33,2,47,0,1
Packers,21.8,62,1349,0,35,5,67,0,0
Eagles,21.7,71,1539,0,46,0,35,0,2
Raiders,21.6,78,1686,0,50,2,43,0,0
Saints,21.3,71,1513,0,47,2,64,0,0
Titans,21.1,52,1098,0,25,3,48,0,1
Bills,20.7,70,1448,1,33,4,103T,0,1
Dolphins,19.9,78,1552,0,40,2,52,2,1
Chiefs,19.2,67,1286,0,34,0,39,0,1
Panthers,19.1,60,1146,0,25,2,60,1,1
Bears,18.4,67,1234,2,27,2,97T,0,2
