Team,INT,INT TD,INT Yds,Lng
Saints,30,0,280,35
Broncos,28,2,403,52T
Steelers,27,5,336,50
Vikings,26,0,303,36
49ers,25,0,205,34
Browns,23,2,366,76
Cowboys,23,2,208,30
Oilers,23,1,274,73T
Redskins,23,1,329,100T
Patriots,21,2,307,51T
Eagles,21,0,197,63
Colts,20,0,212,68
Giants,20,1,263,70T
Lions,19,1,290,48T
Packers,18,0,220,73
Jets,18,0,239,45
Bills,17,0,93,23
Seahawks,17,1,289,53T
Rams,16,2,305,49
Dolphins,16,0,135,44
Buccaneers,16,2,248,42
Falcons,15,0,182,40
Bengals,14,0,187,44
Cardinals,14,1,167,60T
Bears,13,2,69,23
Raiders,13,2,178,58
Chargers,13,2,291,103
Chiefs,11,0,140,40
