Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Falcons,0,0,0,0,162,27,1070
Bills,0,0,0,0,115,21.3,1023
Bears,0,0,0,0,77,18.6,989
Bengals,0,0,0,0,97,22,938
Browns,0,0,0,0,85,21.2,903
Cowboys,0,0,0,0,87,19,1019
Broncos,0,0,0,0,104,22.9,941
Lions,0,0,0,0,121,24,1006
Packers,0,0,0,0,119,22.8,1024
Oilers,0,0,0,0,100,22.4,977
Colts,0,0,0,0,96,20.7,1003
Chiefs,0,0,0,0,139,26,1045
Rams,0,0,0,0,95,22.7,961
Raiders,0,0,0,0,98,20.9,939
Dolphins,0,0,0,0,118,23.7,1013
Vikings,0,0,0,0,96,21.8,978
Patriots,0,0,0,0,112,22.8,1053
Saints,0,0,0,0,81,20.9,924
Giants,0,0,0,0,98,19.9,1054
Jets,0,0,0,0,117,24.6,993
Eagles,0,0,0,0,84,19.6,1045
Cardinals,0,0,0,0,116,23.6,1025
Steelers,0,0,0,0,94,20.7,962
Chargers,0,0,0,0,121,23.2,1007
49ers,0,0,0,0,95,22.1,932
Seahawks,0,0,0,0,134,28.4,955
Buccaneers,0,0,0,0,125,25,996
Redskins,0,0,0,0,103,23.4,1020
