Team,FF,FR,FR TD
Colts,24,25,1
Seahawks,20,21,0
Bills,18,14,3
Bears,18,11,0
Broncos,15,19,0
Lions,15,13,1
Patriots,15,21,1
Buccaneers,15,19,2
Oilers,14,14,1
Cardinals,14,19,4
Chargers,14,15,1
Dolphins,13,16,2
Giants,13,14,0
Rams,12,11,1
Vikings,12,11,0
Packers,11,24,0
Raiders,11,15,0
Saints,10,18,0
49ers,10,13,0
Browns,9,13,2
Jets,9,11,1
Eagles,9,27,2
Cowboys,8,20,0
Chiefs,8,17,1
Redskins,8,11,1
Steelers,7,17,2
Falcons,2,12,1
Bengals,2,12,0
