Team,FR TD,SFTY,INT TD
Cardinals,4,0,1
Bills,3,2,0
Browns,2,0,2
Dolphins,2,0,0
Eagles,2,1,0
Steelers,2,1,5
Buccaneers,2,0,2
Falcons,1,1,0
Lions,1,1,1
Oilers,1,1,1
Colts,1,1,0
Chiefs,1,0,0
Rams,1,1,2
Patriots,1,0,2
Jets,1,1,0
Chargers,1,2,2
Redskins,1,0,1
Bears,0,0,2
Bengals,0,1,0
Cowboys,0,0,2
Broncos,0,1,2
Packers,0,0,0
Raiders,0,0,2
Vikings,0,1,0
Saints,0,2,0
Giants,0,0,1
49ers,0,1,0
Seahawks,0,0,1
