Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Bears,404,4352,10.8,25,53,11,80,203,50.2,7
Giants,350,4015,11.5,17,46,6,80,197,56.3,3
Panthers,345,4447,12.9,36,61,9,88,208,60.3,3
Packers,344,4132,12,23,52,11,74T,196,57,6
Rams,343,4580,13.4,42,62,17,75,207,60.4,5
Colts,338,4182,12.4,26,56,11,80,200,59.2,8
Chargers,332,3627,10.9,12,44,12,80,171,51.5,4
Dolphins,329,3736,11.4,20,49,7,69T,188,57.1,6
Lions,326,4074,12.5,22,54,15,77,179,54.9,3
49ers,324,3526,10.9,14,37,8,62,172,53.1,5
Redskins,324,4112,12.7,26,64,14,65,183,56.5,8
Jaguars,320,3716,11.6,16,44,8,62,194,60.6,3
Broncos,319,3646,11.4,16,42,7,88T,168,52.7,1
Vikings,316,4318,13.7,32,71,11,80,192,60.8,4
Raiders,306,3850,12.6,24,52,7,50,196,64,2
Patriots,305,3985,13.1,19,50,13,68,184,60.3,4
Titans,304,3622,11.9,23,49,8,65,167,54.9,2
Steelers,301,3118,10.4,19,32,3,49,159,52.8,3
Bengals,300,3504,11.7,18,32,7,76,161,53.7,1
Cowboys,295,3278,11.1,20,41,7,90,139,47.1,2
Chiefs,295,3409,11.6,22,36,6,86,164,55.6,4
Bills,290,3478,12,21,44,8,54,173,59.7,1
Saints,288,3598,12.5,16,47,11,90,159,55.2,2
Seahawks,288,3629,12.6,25,52,6,51,179,62.2,5
Cardinals,287,3085,10.8,11,36,8,71,150,52.3,7
Falcons,278,3691,13.3,22,51,10,62T,179,64.4,3
Jets,272,3001,11,22,39,6,65,139,51.1,1
Browns,271,2997,11.1,19,37,6,78,134,49.4,2
Ravens,270,3360,12.4,21,46,12,76,148,54.8,4
Buccaneers,268,2781,10.4,18,26,5,68,132,49.2,1
Eagles,235,2405,10.2,18,25,5,84,123,52.3,2
