Team,Rsh TD,Rec TD,Tot TD,2-PT
Redskins,23,26,53,1
Jaguars,20,16,41,1
Titans,19,23,44,0
Raiders,18,24,44,0
Cowboys,16,20,41,0
Colts,15,26,45,0
Chiefs,14,22,43,0
Steelers,14,19,33,0
49ers,14,14,30,0
Broncos,13,16,31,1
Packers,13,23,38,0
Rams,13,42,65,1
Vikings,13,32,49,0
Cardinals,13,11,27,0
Bills,12,21,34,1
Panthers,12,36,50,0
Bengals,11,18,33,0
Giants,11,17,31,2
Chargers,10,12,23,0
Falcons,9,22,34,0
Ravens,9,21,34,1
Browns,9,19,28,1
Patriots,9,19,30,0
Saints,9,16,25,0
Lions,8,22,32,0
Dolphins,8,20,29,0
Jets,7,22,32,0
Buccaneers,7,18,27,0
Eagles,5,18,29,1
Seahawks,5,25,34,0
Bears,4,25,30,1
