Team,Rsh TD,Rec TD,Tot TD,2-PT
Ravens,22,14,37,1
Dolphins,22,25,50,0
49ers,20,23,43,0
Lions,19,20,40,3
Eagles,18,19,38,1
Colts,16,13,33,2
Bills,14,24,39,3
Jaguars,14,14,30,3
Cardinals,13,11,25,3
Rams,12,16,28,2
Browns,11,11,24,4
Cowboys,11,26,44,4
Commanders,11,18,30,3
Falcons,10,11,22,1
Titans,10,10,20,0
Saints,10,14,26,3
Bears,9,15,25,1
Chargers,9,21,31,1
Seahawks,9,15,27,1
Texans,8,21,30,1
Raiders,8,11,20,1
Steelers,8,8,18,0
Bengals,7,18,27,0
Chiefs,7,22,30,0
Packers,6,22,30,2
Patriots,6,10,16,0
Buccaneers,6,18,25,2
Panthers,5,11,19,2
Vikings,5,23,30,1
Broncos,4,21,27,2
Giants,4,11,17,0
Jets,3,7,13,2
