Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Ravens,390,1903,4.9,22,14,3,60,108,27.7,4
Browns,390,1621,4.2,11,7,3,69,97,24.9,7
Falcons,386,1622,4.2,10,6,0,38,93,24.1,7
Bears,376,1652,4.4,9,8,0,34,98,26.1,4
Eagles,367,1512,4.1,18,8,1,43,104,28.3,7
49ers,364,1642,4.5,20,6,2,65,105,28.8,4
Lions,358,1648,4.6,19,11,3,75,87,24.3,4
Jaguars,345,1239,3.6,14,8,0,35T,75,21.7,3
Cardinals,343,1611,4.7,13,15,3,45T,84,24.5,5
Cowboys,341,1404,4.1,11,9,1,46T,82,24,3
Saints,341,1261,3.7,10,3,0,29,80,23.5,5
Colts,336,1390,4.1,16,9,3,56,77,22.9,3
Bills,332,1468,4.4,14,7,1,42,104,31.3,5
Giants,328,1285,3.9,4,7,0,36T,63,19.2,5
Dolphins,326,1720,5.3,22,15,7,76T,83,25.5,12
Texans,321,1175,3.7,8,3,0,22,60,18.7,3
Steelers,320,1384,4.3,8,11,1,74T,76,23.8,6
Rams,319,1374,4.3,12,8,1,56T,75,23.5,1
Broncos,316,1389,4.4,4,8,0,38,78,24.7,4
Patriots,308,1244,4,6,3,1,64T,78,25.3,3
Titans,307,1307,4.3,10,7,1,63,71,23.1,4
Chiefs,304,1319,4.3,7,6,1,48T,83,27.3,1
Chargers,303,1172,3.9,9,8,3,55T,62,20.5,2
Panthers,301,1152,3.8,5,3,0,26,74,24.6,3
Packers,299,1259,4.2,6,9,1,40T,62,20.7,4
Buccaneers,295,1022,3.5,6,3,0,38T,56,19,2
Raiders,285,992,3.5,8,4,2,63,52,18.2,5
Commanders,285,1299,4.6,11,8,0,29,81,28.4,5
Vikings,284,1105,3.9,5,3,0,31,57,20.1,9
Seahawks,278,1126,4,9,7,1,45T,66,23.7,1
Bengals,251,990,3.9,7,5,0,31,60,23.9,0
Jets,251,1089,4.3,3,6,3,83T,47,18.7,9
