Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Commanders,335,3466,10.4,18,40,3,51,159,47.5,5
Vikings,309,3264,10.6,23,48,5,62,155,50.2,4
Bengals,304,2951,9.7,18,29,5,76,146,48,3
Chiefs,304,3158,10.4,22,35,4,54,160,52.6,5
Cowboys,303,3348,11,26,48,4,60,166,54.8,5
Bills,295,3214,10.9,24,35,6,81,149,50.5,5
Lions,291,3288,11.3,20,53,6,48,160,55,3
Saints,291,3097,10.6,14,38,9,58,138,47.4,0
Chargers,289,3087,10.7,21,43,5,60,146,50.5,7
Jaguars,285,3093,10.8,14,41,7,57T,136,47.7,6
Dolphins,284,3527,12.4,25,46,10,78,167,58.8,4
Eagles,270,3011,11.2,19,40,7,63,142,52.6,1
Texans,268,3566,13.3,21,59,8,75,164,61.2,2
Panthers,266,2423,9.1,11,24,4,48T,118,44.4,4
Colts,263,2861,10.9,13,36,8,75,129,49,2
Seahawks,263,2984,11.4,15,36,6,73,136,51.7,0
Buccaneers,260,2790,10.7,18,40,9,75,129,49.6,5
Cardinals,258,2495,9.7,11,25,3,69T,125,48.4,0
Patriots,256,2419,9.4,10,22,2,58T,111,43.4,4
Packers,251,2880,11.5,22,37,5,77,143,57,3
Rams,248,2940,11.8,16,46,5,70,139,56,1
Raiders,246,2630,10.7,11,22,4,50T,130,52.8,1
Jets,244,2388,9.8,7,25,3,68,107,43.8,2
Browns,240,2472,10.3,11,29,7,59T,113,47.1,3
Bears,237,2446,10.3,15,30,3,58T,125,52.7,4
49ers,235,3192,13.6,23,53,9,76,145,61.7,2
Ravens,233,2656,11.4,14,37,6,80T,116,49.8,6
Broncos,233,2385,10.2,21,29,7,60,104,44.6,6
Giants,231,2185,9.5,11,31,4,58,98,42.4,3
Steelers,230,2343,10.2,8,28,4,72,108,47,2
Falcons,228,2549,11.2,11,31,5,60T,128,56.1,1
Titans,210,2470,11.8,10,38,9,70,107,51,1
