Team,Rsh TD,Rec TD,Tot TD,2-PT
Lions,23,11,36,0
Bears,22,21,45,0
Rams,19,29,51,0
Saints,19,23,46,0
Chiefs,18,14,33,0
Bengals,17,32,51,0
Giants,17,17,37,0
Steelers,17,10,28,0
Oilers,16,23,41,0
Bills,15,32,49,0
Broncos,15,21,38,0
Browns,14,20,39,0
Eagles,14,23,39,0
49ers,14,35,50,0
Redskins,14,24,42,0
Packers,13,27,42,0
Chargers,13,15,29,0
Vikings,12,17,32,0
Patriots,12,17,30,0
Falcons,11,17,29,0
Colts,11,18,34,0
Jets,11,14,28,0
Dolphins,10,26,39,0
Cardinals,10,17,29,0
Buccaneers,10,23,36,0
Raiders,9,21,33,0
Cowboys,7,14,22,0
Seahawks,5,21,27,0
