Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Steelers,33,78.6,40,100,0,2
Bears,31,81.6,51,100,2,0
Saints,31,88.6,27,93.1,0,0
Lions,26,83.9,31,93.9,0,1
Jets,26,76.5,43,95.6,0,0
Eagles,25,83.3,29,100,0,0
Falcons,24,77.4,29,100,1,0
Bengals,24,72.7,48,96,0,0
Chiefs,24,88.9,35,100,0,0
Patriots,24,80,40,97.6,0,2
Broncos,23,60.5,41,93.2,0,0
Rams,22,75.9,38,97.4,3,1
Dolphins,22,81.5,50,96.2,0,0
Giants,22,66.7,45,95.7,0,0
Buccaneers,22,68.8,30,93.8,0,0
Redskins,22,62.9,31,93.9,0,0
Oilers,21,77.8,29,93.6,0,0
Raiders,20,62.5,40,95.2,0,0
Cowboys,19,67.9,42,97.7,0,0
Packers,19,73.1,38,95,0,0
Chargers,18,64.3,53,93,1,0
Colts,16,61.5,36,92.3,0,1
Vikings,15,57.7,41,95.4,0,0
Browns,14,77.8,35,100,0,1
Seahawks,14,56,40,95.2,0,0
Bills,13,76.5,23,100,0,0
Cardinals,13,46.4,33,97.1,0,0
49ers,13,61.9,52,98.1,1,0
